"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"almond","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100K-200K","4","B084884GKX","B0992KMQYL","19.21","29.70","28.18","33.90","48.44","63.62","7days"
"almonds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","50K-100K","7","B084884GKX","B0992KMQYL","18.67","27.70","26.22","25.46","46.09","93.76","7days"
"almonds 1kg offers low price","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","50K-100K","12","B0992KMQYL","B0992KMQYL","16.11","26.04","25.10","16.46","45.40","34.43","7days"
"badam","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","10K-50K","17","B01LY6B08A","B0992KMQYL","15.20","33.58","30.54","33.58","43.93","43.12","7days"
"badam 1kg offers","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","10K-50K","18","B0992KMQYL","B0992KMQYL","14.54","46.46","39.55","22.04","50.45","23.42","7days"
"almonds 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","10K-50K","19","B084884GKX","B084884GKX","16.56","32.43","27.81","25.96","51.86","18.98","7days"
"badam 500g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","10K-50K","36","B06X6GSBMR","B084884GKX","14.27","19.87","17.58","24.73","50.23","20.33","7days"
"amazon food","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","10K-50K","50","B07GQNQNJG","B01LZ5DFW2","23.04","39.37","38.98","0.00","0.52","0.00","7days"
"happilo","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","10K-50K","66","B084884GKX","B01LY6B085","72.95","96.21","94.71","11.84","53.05","17.57","7days"
"almonds 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","10K-50K","72","B0992KMQYL","B0992KMQYL","17.12","24.75","23.81","13.22","46.81","22.87","7days"
"happilo almonds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","10K-50K","76","B01LY6B08A","B0992KMQYL","78.46","54.85","53.22","5.32","64.20","12.10","7days"
"badam 250 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","5K-10K","90","B078N84FY2","B07GQNLYBN","12.68","26.56","25.69","101.99","45.51","27.23","7days"
"anjeer 1_kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","5K-10K","105","B0B63C615W","B09TJNFYQK","19.57","7.28","5.62","14.12","5.65","0.00","7days"
"almonds 250 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","5K-10K","106","B08HKTJMVS","B01LPY9XY8","11.47","41.04","38.39","44.76","36.63","22.48","7days"
"mamra almonds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","5K-10K","108","B073SV86PJ","B08J2Y66LV","4.86","15.79","13.00","118.10","34.76","45.49","7days"
"mamra badam","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","5K-10K","118","B073SV86PJ","B08ZL462YY","5.05","13.62","11.46","277.45","35.38","104.72","7days"
"dry fruits in fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","5K-10K","130","B084884GKX","B07GR3S1RR","32.16","30.74","29.47","6.85","32.29","9.47","7days"
"roasted almond","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","5K-10K","133","B01LYTLO7H","B09WRMDZ3G","8.87","21.21","18.11","40.57","34.05","66.49","7days"
"almond 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","5K-10K","139","B06X6GSBMR","B084884GKX","19.67","32.93","29.47","21.56","48.56","64.54","7days"
