"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"hapillio dry fruits","BRANDED","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","100-1K","569","B01LZ5DFW2","B01LY6B085","70.66","50.72","42.24","15.21","49.48","5.91","7days"
"hapilo","BRANDED","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","100-1K","1373","B01LXIWNMH","B01LY6B085","78.86","0.00","0.00","0.00","0.00","0.00","7days"
"happilo+dry+fruit","BRANDED","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","100-1K","1387","B01LZ5DFW2","B0B4DPJ9C3","69.61","93.21","75.74","11.62","57.41","0.00","7days"
"hapillo dry fruits","BRANDED","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","100-1K","3286","B01LZ5DFW2","B01LY6B085","71.65","60.00","0.00","0.00","0.00","0.00","7days"
"happily pistachio","BRANDED","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","4325","B01LZ5DFW2","B01LZ5DFW2","39.83","72.73","0.00","15.49","0.00","0.00","7days"
"hapiloo dry fruits","BRANDED","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","5815","B01LY6B08A","B01LWVFCMF","73.99","0.00","0.00","0.00","0.00","0.00","7days"
"happilo+almond","BRANDED","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","6364","B0992N4SCC","B07GQNM6N2","78.36","70.67","71.08","0.00","63.44","0.00","7days"
"happilio","BRANDED","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","7652","B08487WD3J","B01LY6B085","79.80","0.00","0.00","0.00","0.00","0.00","7days"
"hapillo pista","BRANDED","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","7849","B08487WD3J","B01LZ5DFW2","74.12","0.00","0.00","0.00","0.00","0.00","7days"
"hapilo pista","BRANDED","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","10335","B08487WD3J","B01LZ5DFW2","78.13","0.00","0.00","0.00","0.00","0.00","7days"
"hapillo almond","BRANDED","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","10465","B01LY6B08A","B01LY6B08A","76.84","0.00","0.00","0.00","0.00","0.00","7days"
"dry+fruits+happilo","BRANDED","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1-100","10785","B01LWJQ6KJ","B01LWJQ6KJ","66.67","45.45","49.25","0.00","44.93","0.00","7days"
