"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"blueberry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","10K-50K","62","B01MCVLVC7","B07GQWST7K","22.23","1.53","1.37","30.72","51.46","25.17","7days"
"blueberry dry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","5K-10K","85","B01MCVLVC7","B0BC777WQC","18.86","0.85","0.71","23.06","49.97","27.84","7days"
"prunes dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","5K-10K","117","B00OOHS0AC","B07GQWRZKN","4.45","0.74","1.76","0.00","9.53","18.94","7days"
"blueberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1K-5K","180","B01MCVLVC7","B07GQWST7K","19.43","4.20","3.71","0.00","48.71","69.70","7days"
"blue berry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1K-5K","192","B01MCVLVC7","B09SWYCHZL","20.81","2.31","2.02","18.91","53.03","18.56","7days"
"blue berry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1K-5K","261","B01MCVLVC7","B01LYTOXJ1","21.84","11.49","9.95","10.31","49.79","30.55","7days"
"blueberry fresh fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1K-5K","285","B01MCVLVC7","B0BC777WQC","21.08","1.61","1.39","0.00","47.41","19.09","7days"
"goji berry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1K-5K","334","B07D28NCZ5","B07D28NCZ5","3.47","0.09","0.08","0.00","13.88","0.00","7days"
"prunes dry fruits without sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1K-5K","382","B00OOHS0AC","B09HPXHJMZ","4.78","0.00","0.15","0.00","7.11","0.00","7days"
"blue berry fruit dry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1K-5K","426","B01MCVLVC7","B07GR8MCNZ","16.38","1.28","1.14","0.00","51.16","65.73","7days"
"blue berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1K-5K","450","B01MCVLVC7","B01LYTOXJ1","18.89","16.48","14.19","9.94","48.98","20.98","7days"
"blueberries fresh fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","100-1K","479","B01LYTOXJ1","B07GR24VMZ","34.90","10.85","11.60","7.89","69.81","3.55","7days"
"dried kiwi","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","100-1K","540","B07Q8MPBHT","B0BPBTZ883","4.85","1.20","1.56","0.00","20.73","0.00","7days"
"blueberries without sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","100-1K","567","B08ZDDHWFT","B0BC6DMJM2","14.95","2.90","2.46","0.00","47.57","15.91","7days"
"dried plum","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","100-1K","642","B08NHNKX4G","B09NCYXGXT","1.10","0.00","0.00","0.00","6.10","0.00","7days"
"prunes 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","100-1K","676","B01KOPI31S","B01MUYB0XH","0.80","0.00","0.00","0.00","13.57","0.00","7days"
"dry plum","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","100-1K","803","B081Z7SPL1","B07GQWRZKN","0.96","0.00","0.00","0.00","8.35","0.00","7days"
"blueberries dry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","100-1K","818","B01MCVLVC7","B0BC777WQC","18.39","0.84","0.68","0.00","49.02","0.00","7days"
