"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"berries and nuts","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Brazil Nuts","1K-5K","375","B09P9Y4XRD","B07X7X8QH6","4.70","11.82","12.64","31.54","7.25","0.00","7days"
"brazil+nuts+online","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Brazil Nuts","100-1K","695","B07QGZX1S6","B09F66X58Y","2.21","2.90","3.04","0.00","10.54","0.00","7days"
"brazil nuts online","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Brazil Nuts","100-1K","1502","B08ZKSQTBQ","B082VBYKHD","1.33","0.86","1.97","0.00","7.95","0.00","7days"
"happilo brazil nuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Brazil Nuts","100-1K","1696","B0B3RRS1BM","B01LY6B085","66.22","69.12","67.54","54.07","44.30","0.00","7days"
"brazil nuts 100 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Brazil Nuts","100-1K","1883","B07QCT8KK7","B082VBYKHD","1.11","0.76","1.18","0.00","6.67","0.00","7days"
"brazil nuts happilo","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Brazil Nuts","100-1K","2214","B0B3RRS1BM","B01LY6B085","66.46","61.45","60.08","24.89","34.29","0.00","7days"
"brazilian nut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Brazil Nuts","100-1K","2592","B07QSH31HG","B09F66X58Y","1.86","0.00","0.00","0.00","13.98","0.00","7days"
"brazilnut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Brazil Nuts","100-1K","2685","B07QSH31HG","B07QSH31HG","0.09","0.00","0.00","0.00","4.96","0.00","7days"
"1kg brazil nuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Brazil Nuts","100-1K","2862","B0974LC5ZD","B09F66X58Y","0.39","6.10","6.31","0.00","6.90","0.00","7days"
"brazil nuts in fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Brazil Nuts","100-1K","3244","B0758D65V3","B09FT6T6L2","24.88","34.55","29.13","0.00","11.70","0.00","7days"
"brazilian nuts 250g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Brazil Nuts","1-100","3929","B07QSH31HG","B07QSH31HG","3.70","3.77","3.90","0.00","17.75","0.00","7days"
"brazilian nuts 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Brazil Nuts","1-100","4415","B08R5ZYMSM","B09F66X58Y","3.99","0.00","1.32","0.00","18.24","0.00","7days"
"brazilian nuts 500g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Brazil Nuts","1-100","5664","B07QGZX1S6","B09F66X58Y","3.07","1.22","2.94","0.00","14.15","0.00","7days"
"brazil nuts 1 kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Brazil Nuts","1-100","6345","B08R5ZYMSM","B07QSH31HG","1.17","1.54","2.61","0.00","2.80","0.00","7days"
"nuts brazil","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Brazil Nuts","1-100","7169","B08Y78C9LJ","B082VBYKHD","1.89","6.42","5.79","0.00","8.00","0.00","7days"
"1+kg+brazil+nuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Brazil Nuts","1-100","7824","B08ZKT3RCD","B01IPFHBLW","0.55","7.50","6.82","0.00","3.61","0.00","7days"
"brazil+nut+1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Brazil Nuts","1-100","7832","B08X4TQP1Z","B09NBYQG17","1.15","18.75","17.86","0.00","3.06","0.00","7days"
"brazilian nuts for thyroid","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Brazil Nuts","1-100","10076","B07XVNGDBS","B082VBYKHD","0.00","3.92","3.64","0.00","1.89","0.00","7days"
"brazil nuts 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Brazil Nuts","1-100","10333","B09F66X58Y","B082VBYKHD","0.00","10.81","8.89","0.00","4.88","0.00","7days"
"beazilian nuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Brazil Nuts","1-100","12881","B014URMS0S","B09F66X58Y","3.62","0.00","0.00","0.00","0.00","0.00","7days"
"brazil nuts 500gm offers low price","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Brazil Nuts","1-100","13718","B09F66X58Y","B09F66X58Y","5.56","0.00","0.00","0.00","15.00","0.00","7days"
