"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"cranberry dry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","10K-50K","48","B08RC79MN2","B07GQS1669","12.10","1.34","1.93","0.00","26.72","103.91","7days"
"cranberry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","10K-50K","67","B01LZ59BPM","B07GR2G678","13.26","3.89","4.56","4.26","27.41","37.15","7days"
"berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","5K-10K","92","B01LXIWNMH","B07X7X8QH6","17.51","8.45","8.52","30.21","25.70","83.73","7days"
"berries mix","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","182","B01LXIWNMH","B07X7X8QH6","11.88","11.57","15.82","22.76","30.02","85.45","7days"
"dried berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","190","B08WLZFLXD","B07X7X8QH6","16.42","3.93","4.02","34.87","28.12","36.22","7days"
"mixed berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","236","B01LXIWNMH","B09LD3ZB96","11.27","12.31","11.49","16.52","27.49","56.68","7days"
"cranberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","237","B07512GYB9","B07GR2G678","12.99","4.48","5.38","32.23","37.82","64.49","7days"
"berry mix","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","283","B01LXIWNMH","B09LD3ZB96","10.73","12.11","14.77","19.73","31.78","62.36","7days"
"dried blueberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","296","B01LYTOXJ1","B07GQWST7K","19.69","1.26","1.07","0.00","49.09","44.33","7days"
"mix berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","317","B01LXIWNMH","B09LD3ZB96","13.45","11.80","11.65","0.00","35.32","140.69","7days"
"dried cranberry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","328","B07512GYB9","B07GR24VMV","9.95","7.01","6.40","0.00","31.18","80.71","7days"
"berry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","339","B08WLZFLXD","B09LD3ZB96","16.77","13.44","12.86","0.00","24.95","0.00","7days"
