"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"flax seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","10K-50K","20","B07GR346G4","B06XW7BSFV","0.23","0.00","0.00","0.00","0.19","0.00","7days"
"flax seeds 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","5K-10K","102","B08HV5SH8Z","B07GQZ7ZVT","0.02","0.02","0.02","0.00","0.08","0.00","7days"
"flex seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","5K-10K","126","B07GR346G4","B06XW7BSFV","0.30","0.00","0.00","0.00","0.00","0.00","7days"
"flaxseed","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","5K-10K","132","B07GR346G4","B07GQZ7ZVT","0.30","0.00","0.00","0.00","0.00","0.00","7days"
"flax seed","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","1K-5K","155","B07GR346G4","B06XW7BSFV","1.06","0.00","0.00","0.00","0.00","0.00","7days"
"alsi seeds 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","1K-5K","202","B08HV5SH8Z","B09VDQMPWB","0.03","0.00","0.04","0.00","0.12","0.00","7days"
"flax seeds 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","1K-5K","259","B07GQZ7ZVT","B06XW6F9QG","0.15","0.00","0.00","0.00","0.00","0.00","7days"
"flax seeds powder","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","1K-5K","270","B091XX868R","B091XX868R","0.11","0.00","0.03","0.00","0.12","0.00","7days"
"alsi","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","1K-5K","314","B08HV5SH8Z","B07GR346G4","0.46","0.00","0.00","0.00","0.00","0.00","7days"
"flex seed","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","1K-5K","338","B07GR346G4","B06XW7BSFV","0.11","0.00","0.00","0.00","0.00","0.00","7days"
"magaj seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","1K-5K","397","B08F4BD11B","B074Z8YLT8","2.85","1.81","1.94","0.00","3.88","0.00","7days"
"roasted flax seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","1K-5K","406","B07BSHM94V","B0B42K2DYM","4.39","0.00","0.05","0.00","0.70","0.00","7days"
"flax seeds roasted","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","1K-5K","422","B0B42K2DYM","B0B42L6X6Y","4.61","0.00","0.00","0.00","0.83","0.00","7days"
"flax","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","1K-5K","431","B07GR346G4","B06XW6F9QG","0.44","0.00","0.00","0.00","0.00","0.00","7days"
"roasted flax seeds for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","493","B0B42K2DYM","B06XW7BSFV","3.59","0.00","0.00","0.00","0.00","0.00","7days"
"flaxseeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","498","B07GR346G4","B07GQZ7ZVT","0.24","0.00","0.00","0.00","0.00","0.00","7days"
"flax seeds in fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","519","B01IENFDAQ","B06XW7BSFV","12.31","0.00","0.00","0.00","0.00","0.00","7days"
"flax seeds 100gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","568","B07GR346G4","B06XW7BSFV","0.56","0.00","0.00","0.00","0.79","0.00","7days"
"alsi seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","599","B07GR346G4","B07GR346G4","0.12","0.00","0.00","0.00","0.00","0.00","7days"
"flax seed powder","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","609","B091XX868R","B091XX868R","0.02","0.00","0.00","0.00","0.00","0.00","7days"
"flack seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","693","B08HV5SH8Z","B07GR346G4","1.75","0.00","0.00","0.00","0.14","0.00","7days"
"organic flax seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","730","B08HV5SH8Z","B06XW7BSFV","0.03","0.00","0.00","0.00","0.00","0.00","7days"
