"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"brazil nuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Hazelnuts","10K-50K","31","B07QSH31HG","B09F66X58Y","0.84","4.82","4.28","0.00","4.67","0.00","7days"
"brazilian nuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Hazelnuts","1K-5K","197","B014URMS0S","B09F66X58Y","3.76","1.78","1.86","0.00","17.35","0.00","7days"
"brazil nut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Hazelnuts","1K-5K","318","B07QSH31HG","B085XJQQ85","2.83","7.14","6.40","0.00","7.94","0.00","7days"
"brazil nuts 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Hazelnuts","1K-5K","404","B08R5ZYMSM","B09F66X58Y","1.09","6.47","5.82","0.00","6.70","0.00","7days"
"brazil+nuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Hazelnuts","100-1K","554","B07QSH31HG","B09F66X58Y","2.77","16.59","14.83","0.00","10.61","0.00","7days"
"brazil nuts 250g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Hazelnuts","100-1K","560","B07QSH31HG","B0BBCKVLGQ","0.92","8.21","6.99","0.00","7.50","0.00","7days"
"brazil+nuts+1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Hazelnuts","100-1K","955","B08X4TQP1Z","B08Y75C16G","2.26","18.36","16.72","0.00","10.90","0.00","7days"
"brazil nuts 500g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Hazelnuts","100-1K","1019","B07QGZX1S6","B09F66X58Y","0.97","5.91","5.23","0.00","9.06","0.00","7days"
"brazil+nut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Hazelnuts","100-1K","1858","B08Y78C9LJ","B09F66X58Y","1.63","14.50","14.62","0.00","6.03","0.00","7days"
"brazil nuts 1kg offers low price","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Hazelnuts","100-1K","2110","B08R5ZYMSM","B09F66X58Y","3.37","2.70","2.15","0.00","19.38","0.00","7days"
"brazil nuts organic","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Hazelnuts","100-1K","3101","B08Y78C9LJ","B08Y75C16G","1.10","0.00","0.00","0.00","6.19","0.00","7days"
"turkish","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Hazelnuts","1-100","3771","B0BH2TSRQF","B08S7B6RJC","0.49","1.13","1.73","0.00","6.25","0.00","7days"
"1kg+brazil+nuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Hazelnuts","1-100","5386","B08R5ZYMSM","B08P9SQ8RY","1.33","18.00","15.52","0.00","4.76","0.00","7days"
"brazilnuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Hazelnuts","1-100","5907","B014URMS0S","B0B3XTXR85","0.60","0.00","0.00","0.00","0.00","0.00","7days"
"brazil nits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Hazelnuts","1-100","6646","B082VBYKHD","B09F66X58Y","0.00","0.00","0.00","0.00","0.00","0.00","7days"
"pruns","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Hazelnuts","1-100","6735","B00RTC14FM","B07GQWRZKN","1.56","0.00","0.00","0.00","0.00","0.00","7days"
"brazil nuts selenium","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Hazelnuts","1-100","8107","B07QSH31HG","B0BBCKVLGQ","0.75","0.00","0.00","0.00","0.00","0.00","7days"
"brasil nuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Hazelnuts","1-100","8616","B014URMPDI","B082VBYKHD","0.00","0.00","0.00","0.00","0.00","0.00","7days"
"good cravings brazil nuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Hazelnuts","1-100","8908","B09VP53XJC","B09F66X58Y","0.60","2.00","1.28","0.00","5.13","0.00","7days"
"brazil nats","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Hazelnuts","1-100","10240","B07QSH31HG","B06XK9RJFQ","0.00","0.00","0.00","0.00","0.00","0.00","7days"
"organic brazil nuts best quality","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Hazelnuts","1-100","12657","B09JG24NLX","B082VBYKHD","0.00","13.33","0.00","0.00","0.00","0.00","7days"
"candlenut seed","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Hazelnuts","1-100","15324","B01N9QN5M1","B0BDGBYVRN","4.03","6.03","7.64","0.00","0.00","0.00","7days"
