"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"strawberry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","5K-10K","90","B01BLBNU4Y","B07NYF9Y2F","8.94","0.14","0.12","0.00","0.83","0.00","7days"
"fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","5K-10K","130","B01LYTOXJ1","B0BGBTTLLQ","37.82","5.49","9.30","85.71","25.05","0.00","7days"
"dried fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","1K-5K","147","B07Q37RLT1","B0B6SJY2J9","19.87","8.37","7.12","48.73","38.67","49.66","7days"
"fruits in fresh all fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","1K-5K","157","B0758J61YD","B0BH37YWNH","33.66","20.86","19.40","0.00","29.67","0.00","7days"
"mixed dry fruits 1kg offers low price","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","1K-5K","179","B09JSBL8PS","B01LY6B085","8.26","28.72","25.39","33.21","38.59","0.00","7days"
"fresh fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","1K-5K","255","B01LZ5DFW2","B0BNHCXQNR","20.18","8.13","8.59","0.00","30.30","36.98","7days"
"fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","1K-5K","267","B08P1FLDB8","B08NHPG15G","20.14","19.27","14.92","61.61","25.82","0.00","7days"
"goosebumps masala fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","1K-5K","304","B08F9CPBB5","B08KW6GKKL","3.48","0.00","0.00","0.00","1.20","0.00","7days"
"kiwi","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","1K-5K","321","B07Q8MPBHT","B0BBH9L6Y9","8.39","0.08","0.06","0.00","5.81","0.00","7days"
"chestnut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","1K-5K","332","B08L89L1DH","B09R4DGRH9","1.22","20.00","18.78","0.00","7.30","0.00","7days"
