"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"peanuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","10K-50K","27","B07KXGFGSS","B07KXGFGSS","1.16","0.09","0.09","0.00","10.83","0.00","7days"
"groundnut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","10K-50K","58","B07KXGFGSS","B07KXGFGSS","0.75","0.03","0.02","0.00","13.51","0.00","7days"
"peanut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","10K-50K","59","B07KXGFGSS","B07KXGFGSS","1.39","0.30","0.28","0.00","18.91","0.00","7days"
"roasted peanuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","5K-10K","123","B083BSL7BH","B0B5Y4W92R","3.16","0.07","0.06","0.00","9.48","0.00","7days"
"salted peanuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1K-5K","156","B01HCYY3VS","B07VLHW1PW","5.21","0.05","0.05","0.00","19.82","27.17","7days"
"ground nut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1K-5K","176","B07KXGFGSS","B07KXGFGSS","6.74","0.00","0.00","0.00","16.88","0.00","7days"
"peanut raw","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1K-5K","224","B07KXGFGSS","B07KXGFGSS","5.96","0.00","0.00","0.00","17.86","0.00","7days"
"peanuts raw","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1K-5K","232","B07KXGFGSS","B07KXGFGSS","2.12","0.03","0.11","0.00","10.54","0.00","7days"
"raw peanuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1K-5K","269","B07KXGFGSS","B07KXGFGSS","1.09","0.00","0.00","0.00","10.37","0.00","7days"
"jabsons peanuts","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1K-5K","289","B088BW2T78","B071DJ8W7J","2.57","0.00","0.00","0.00","6.66","0.00","7days"
"peanuts 1_kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1K-5K","313","B07KXGFGSS","B07KXGFGSS","5.07","0.04","0.03","0.00","29.40","3.73","7days"
"tong garden peanuts","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1K-5K","371","B07V4WWBGR","B0B5Y4W92R","3.89","0.00","0.00","0.00","20.44","0.00","7days"
"moongfali","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1K-5K","380","B08RK1HQDP","B07KXGFGSS","0.00","0.07","0.06","0.00","3.25","0.00","7days"
"mungfali","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","100-1K","460","B09MDBTMT8","B07KXGFGSS","0.13","0.05","0.04","0.00","2.53","0.00","7days"
"raw peanut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","100-1K","511","B07KXGFGSS","B07KXGFGSS","4.46","0.00","0.00","0.00","21.04","0.00","7days"
"groundnut 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","100-1K","525","B07MNFRFR3","B07KXGFGSS","0.48","0.00","0.00","0.00","5.85","0.00","7days"
"mungfali dana 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","100-1K","544","B07KXGFGSS","B07KXGFGSS","0.62","0.00","0.00","0.00","12.26","0.00","7days"
"haldiram peanuts","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","100-1K","555","B01HCYY3VS","B0B5Y4W92R","0.35","0.00","0.00","0.00","0.00","0.00","7days"
