"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"pumpkin seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","50K-100K","5","B089WVTBXX","B07GQW1HJC","6.84","4.94","6.59","33.06","13.59","26.84","7days"
"pumpkin seeds for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","10K-50K","49","B07R55QNXB","B07GQW1HJC","7.61","12.26","12.64","16.91","14.03","128.27","7days"
"pumpkin seeds 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","10K-50K","61","B08296TRWV","B07GQW1HJC","3.55","0.18","0.32","17.20","26.99","192.42","7days"
"pumpkin seed","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","5K-10K","130","B089WVTBXX","B07GQW1HJC","9.55","18.70","18.20","18.56","8.67","0.00","7days"
"pumpkin seeds 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","5K-10K","139","B06X9P143F","B07GQW1HJC","3.96","12.66","12.33","107.00","31.11","34.93","7days"
"pumpkin seeds 250 gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","1K-5K","176","B089WVTBXX","B01M3SDPPK","18.78","13.60","12.98","17.21","40.41","17.84","7days"
"pumkin seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","1K-5K","210","B089WVTBXX","B07GQW1HJC","6.48","16.67","0.00","0.00","0.00","0.00","7days"
"roasted pumpkin seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","1K-5K","261","B07587K8S5","B07GQW1HJC","8.47","10.62","10.25","36.67","30.62","7.17","7days"
"pumking seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","1K-5K","279","B089WVTBXX","B07GQW1HJC","7.90","0.00","0.00","0.00","0.00","0.00","7days"
"pumpkin seeds 100gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","1K-5K","330","B07GQRWYNP","B07GQRWYNP","6.83","12.80","12.59","0.00","34.52","33.23","7days"
"pumpkin seeds and sunflower seeds combo","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","1K-5K","408","B08VRVP5SS","B088XLZDJC","3.71","0.37","0.34","0.00","23.82","0.00","7days"
"fia home foods products","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","1K-5K","456","B09QNJ3C8J","B0B5LVHCH9","11.53","1.38","2.61","0.00","4.15","0.00","7days"
"roasted pumpkin seeds for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","571","B07587K8S5","B07WRCP5KN","8.78","15.31","14.26","19.88","21.85","0.00","7days"
"pumkin seed","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","612","B089WVTBXX","B07GQW1HJC","5.97","0.00","0.00","0.00","0.00","0.00","7days"
"raw pumpkin seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","750","B07R55QNXB","B01M3SDPPK","7.80","10.29","11.42","0.00","22.42","0.00","7days"
"pumpkin seeds in fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","845","B07GQRWYNP","B07GQW1HJC","5.97","27.56","26.90","6.14","4.86","0.00","7days"
"pumpkin seeds 1_kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","887","B0B6SPPDCW","B07GQWST7Y","9.52","2.39","4.91","0.00","34.91","2.01","7days"
"watermelon seeds in fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","903","B01MEHGSRK","B01F8UA1AA","6.56","26.84","26.60","0.00","2.51","0.00","7days"
"happilo pumpkin seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","1016","B0758JN87N","B07587K8S5","44.81","41.89","39.25","24.37","26.06","0.00","7days"
"pumpkin seeds organic","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","1078","B07R55QNXB","B0B3T42341","3.46","0.00","0.88","0.00","20.04","4.76","7days"
"kaddu ke beej","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","1125","B09H2XX7W6","B07GQW1HJC","2.09","3.96","4.58","0.00","2.61","0.00","7days"
"pumpkin+seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","1148","B07GQRWYNP","B06X9P143F","4.06","0.45","2.41","0.00","10.41","0.00","7days"
"pumkinseeds seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","1302","B07GQRWYNP","B07GQW1HJC","4.01","0.00","0.00","0.00","0.00","0.00","7days"
"pumpkin seeds 1 kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","1326","B08S3DN5JC","B06WGP7PSQ","5.77","0.31","0.26","0.00","25.42","0.00","7days"
"sft pumpkin seeds","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","1448","B08296TRWV","B09NYB4SPH","6.96","6.84","7.84","0.00","27.24","0.00","7days"
"pumpkin puree","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","1542","B0B1WVMP98","B09579V36G","0.00","0.91","0.71","0.00","0.72","0.00","7days"
"sunflower and pumpkin seeds combo","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","1656","B08Y6H19BZ","B088XLZDJC","2.36","0.45","0.72","0.00","34.26","0.00","7days"
"jackfruit chips","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","1787","B09G3DCG2T","B0BGC9RS8L","15.06","0.00","0.00","0.00","0.00","0.00","7days"
"organic pumpkin seeds for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","1819","B07R55QNXB","B0B3T42341","5.33","0.65","5.11","0.00","22.45","0.00","7days"
"neuherbs pumpkin seeds","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","1830","B07R55QNXB","B07R55QNXB","4.46","13.48","12.80","0.00","21.46","0.00","7days"
"pumpkin seeds for eating 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","1846","B07PWK6WFV","B073XRDYT3","6.28","1.04","1.76","0.00","20.14","0.00","7days"
"happilo seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","1851","B07NTJ9KF5","B01LY6B085","63.22","65.57","61.81","12.71","26.23","0.00","7days"
"pumkin sheeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","1932","B089WVTBXX","B07GQW1HJC","7.14","20.00","0.00","0.00","0.00","0.00","7days"
"vedaka pumpkin seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","1955","B07GQW1HJC","B07GQW1HJC","7.79","6.94","6.83","0.00","18.45","15.23","7days"
"sorich pumpkin seeds","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","2001","B07545H9W3","B07545H9W3","0.69","0.00","0.42","0.00","13.79","0.00","7days"
"salted pumpkin seeds for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","2008","B07587K8S5","B0B97SQNFQ","15.25","22.05","22.45","0.00","32.93","0.00","7days"
"pumpkinseeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","2111","B09MKMCPJY","B07GQW1HJC","5.62","16.06","18.25","0.00","4.52","0.00","7days"
"pumkin seeeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","2256","B089WVTBXX","B07GQW1HJC","5.67","0.00","0.00","0.00","0.00","0.00","7days"
"seeds pumpkin","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","2306","B07GQRWYNP","B01M3SDPPK","11.33","8.80","8.53","0.00","38.55","0.00","7days"
"roasted+pumpkin+seed","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","2342","B089WVTBXX","B0B97RZPNX","9.39","27.32","26.76","0.00","26.36","0.00","7days"
"roasted pumpkin seed","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","2404","B07GQW1HJC","B07GQWST7Y","6.76","6.34","6.43","0.00","19.00","0.00","7days"
"melon seeds in fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","2463","B079L58ZFF","B082SWR3GS","14.00","27.36","30.63","0.00","8.45","0.00","7days"
"pumkin seads","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","2528","B07GQRWYNP","B07GQW1HJC","7.22","0.00","0.00","0.00","0.00","0.00","7days"
"pumpkins seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","2779","B07GQRWYNP","B08PF8HYG3","4.94","4.79","6.36","0.00","18.18","0.00","7days"
"pumpkin seeds 200gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","2868","B07R55QNXB","B07GQW1HJC","14.90","17.78","18.18","0.00","31.03","0.00","7days"
"pumpkin+seeds.","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","3056","B07R55QNXB","B07GQW1HJC","0.72","0.00","1.38","0.00","18.08","0.00","7days"
"pumpkin seeds 500g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","3172","B09MKQNLSQ","B07GQRWYNP","11.25","17.78","16.99","16.03","39.83","0.00","7days"
"pumpkin seeds for eating organic","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","3499","B07R55QNXB","B07GQW1HJC","5.60","4.71","4.12","0.00","15.38","0.00","7days"
"roasted pumpkin seeds 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","3602","B08WPMPR77","B07GQWST7Y","7.10","0.00","0.57","0.00","33.55","0.00","7days"
"1kg pumpkin seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","3709","B08WPMPR77","B07GQW1HJC","0.13","1.32","1.06","0.00","14.29","0.00","7days"
"pumking seeds raw","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","3745","B074J7R9RQ","B01M3SDPPK","15.26","0.00","0.00","0.00","0.00","0.00","7days"
"pumpkin seeds 1kg organic","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","3781","B08VNCHZQT","B06X9P143F","3.47","0.00","0.00","0.00","30.46","0.00","7days"
"pumpkin seeds organic for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","3796","B07R55QNXB","B0B3T42341","3.64","4.72","5.26","0.00","11.59","0.00","7days"
"pumkeen seds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","3847","B07GQW1HJC","B07GQW1HJC","6.68","0.00","0.00","0.00","0.00","0.00","7days"
