"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"walnut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","50K-100K","9","B01HBRBY5E","B01LWJQ6KJ","13.20","32.10","28.52","38.25","11.89","26.16","7days"
"walnuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","50K-100K","11","B01HBRBY5E","B0758JDCYB","16.65","32.03","28.37","37.59","13.17","48.09","7days"
"walnuts 1kg without shell","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","10K-50K","18","B06X6KRZW1","B0758D65W6","4.53","39.44","34.56","55.29","12.18","43.54","7days"
"walnuts 500gm without shell","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","10K-50K","40","B091MTZD7G","B0758JDCYB","4.43","34.65","31.25","34.03","18.49","21.19","7days"
"akhrot 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","10K-50K","42","B013U6HANA","B0758D65W6","6.04","28.84","24.38","33.24","19.08","30.25","7days"
"akhrot","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","10K-50K","53","B01HBRBY5E","B0758JDCYB","13.40","31.17","27.34","36.20","19.95","12.67","7days"
"walnuts without shell","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","10K-50K","79","B01HBRBY5E","B01LXUM54I","7.16","42.68","35.80","33.07","15.88","33.42","7days"
"akhrot 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","5K-10K","100","B091MTZD7G","B0758JDCYB","8.97","42.97","36.65","29.49","24.75","21.70","7days"
"wallnuts nuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","5K-10K","102","B01HBRBY5E","B0758JDCYB","11.91","38.01","31.36","20.10","27.65","27.96","7days"
"walnut kernel","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","5K-10K","103","B01HBRBY5E","B01LWJQ6KJ","10.83","27.96","23.84","31.07","14.77","0.00","7days"
"wallnut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","5K-10K","108","B01HBRBY5E","B0758D65W6","14.24","32.91","29.83","24.39","16.20","0.00","7days"
"wallnuts nuts 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","5K-10K","116","B0BG862HVR","B0758JDCYB","10.32","47.82","37.89","41.74","28.09","110.32","7days"
"anjeer 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","5K-10K","132","B0B63C615W","B099KGD1C2","2.51","4.94","3.93","49.75","3.02","0.00","7days"
"walnut without shell","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","5K-10K","142","B01HBRBY5E","B01LXUM54I","10.68","37.62","31.78","33.19","19.82","54.98","7days"
"walnuts 1_kg with shell","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","1K-5K","162","B0758D65W6","B013U6HANA","11.65","15.58","14.03","30.62","24.70","18.44","7days"
