"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"tulsi anjeer","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","673","B01LL2BK72","B09TJNFYQK","0.72","8.09","6.62","15.89","2.56","0.00","7days"
"tulsi dry fruits","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","722","B01LL2BK72","B09WRMXP9Z","4.21","4.37","7.19","0.00","32.35","0.00","7days"
"nutraj anjeer","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","966","B0BC9NFYTG","B013U6IJNU","4.57","6.88","5.84","0.00","3.49","0.00","7days"
"sft anjeer","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","2613","B0BH2TSRQF","B075NMMGTK","0.60","8.33","7.92","0.00","8.19","0.00","7days"
"sft anjeer 1kg","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1-100","3612","B075MGMQY5","B086ZTQC5M","0.22","4.98","4.42","0.00","5.42","0.00","7days"
"tulsi anjeer 500 grams big size","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1-100","3653","B01LL2BK72","B08ZDN6624","0.00","10.00","8.44","0.00","1.35","0.00","7days"
"tulsi anjeer 250 grams","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1-100","3845","B01LL2BK72","B09TJMVMLW","0.32","7.69","4.42","0.00","3.81","0.00","7days"
"manna figs dry fruits","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1-100","5260","B07N2QY38V","B09JVTGRWR","1.79","8.99","7.08","0.00","0.00","0.00","7days"
"manna figs","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1-100","6304","B07N2QY38V","B0758D65V3","2.72","6.58","4.46","0.00","4.50","0.00","7days"
"nutraj figs dry fruits","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1-100","6867","B0BC9NFYTG","B013U6IJNU","1.52","5.43","4.41","0.00","5.74","0.00","7days"
"tulsi anjeer 1kg","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1-100","7097","B07P36LQ5L","B0758D65V3","0.00","6.67","5.66","0.00","8.06","0.00","7days"
"anjeer sft","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1-100","7938","B0BH2TSRQF","B01MYGF7CT","0.27","6.78","0.00","0.00","0.00","0.00","7days"
"tulsi anjeer 500g offers low price","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1-100","8292","B0758D65V3","B0758D65V3","51.72","66.67","0.00","0.00","0.00","0.00","7days"
"tulsi fig","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1-100","8293","B01LL2BK72","B08H2FHXQN","0.65","13.11","11.59","0.00","8.62","0.00","7days"
"ancy anjeer","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1-100","8314","B07KTWZG34","B09NFLF8WG","0.00","10.53","0.00","0.00","0.00","0.00","7days"
"manna anjeer","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1-100","8453","B01LL2BK72","B09JVYMMJ4","2.34","0.00","0.00","0.00","0.00","0.00","7days"
"nutraj anjeer 1kg","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1-100","12109","B075MGMQY5","B013U6IJNU","0.56","3.03","1.82","0.00","5.13","0.00","7days"
"anjeer 250 grams tulsi","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1-100","14209","B01LL2BK72","B0758D65V3","0.86","11.43","4.04","0.00","6.74","0.00","7days"
"tulsi anjeer dry fruits 1kg offer big size","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1-100","14325","B0867M13DJ","B08ZDN6624","0.00","0.00","0.00","0.00","0.00","0.00","7days"
"tulsi anjeer 1_kg","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1-100","14565","B01LL2BK72","B013U6IJNU","0.00","20.00","15.79","0.00","10.34","0.00","7days"
