"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"kimia dates","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Dates","10K-50K","65","B08L13NBMR","B084885G2J","8.88","21.79","17.96","33.29","28.60","83.69","7days"
"lion dates","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Dates","10K-50K","69","B08LT81NP7","B0B7DPDKLN","10.48","5.33","5.19","44.86","14.45","222.64","7days"
"lion dates buy 1 get 1 free","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Dates","1K-5K","169","B01B1IDRKO","B0B2DMPSB2","9.40","1.24","2.00","0.00","12.52","0.00","7days"
"kimia dates buy 1 get 1 free","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Dates","1K-5K","211","B0B65PPXWB","B095J5S2HZ","7.92","3.91","3.43","0.00","28.19","20.01","7days"
"kimia dates 500gm","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Dates","1K-5K","374","B08DWD9BGQ","B08ZYFJFMR","8.77","10.19","9.24","0.00","23.96","21.96","7days"
"lagom dates","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Dates","1K-5K","410","B099WFJZR1","B07Q4JBHPX","3.53","0.27","0.25","0.00","8.11","0.00","7days"
"dates kimia","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","467","B08L13NBMR","B084885G2J","8.57","24.60","21.42","0.00","22.33","0.00","7days"
"date crown","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","491","B008MEITOK","B0758JN85Y","10.19","28.26","23.90","0.00","33.22","0.00","7days"
"dates lion","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","531","B07BSY33QB","B0B7DPDKLN","8.95","9.50","7.33","1.82","22.40","20.29","7days"
"manna dates","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","584","B07NRT36X5","B096ZFNK2D","5.52","8.32","8.68","0.00","20.09","0.00","7days"
"date crown fard 500gm","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","742","B008MEITOK","B0758JN85Y","6.64","34.12","30.32","61.57","30.96","0.00","7days"
"kimia gold dates 500gm","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","796","B08RRXY7BC","B099WFJZR1","1.16","5.27","5.43","0.00","16.73","0.00","7days"
"lion choco dates","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","839","B08MK6BZW4","B0B2946GMP","3.63","7.95","7.33","0.00","18.20","0.00","7days"
"molsis dates","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","982","B08P7P43CY","B096ZFNK2D","8.37","4.42","5.47","0.00","15.88","0.00","7days"
