"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"ministry of nuts","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","1K-5K","407","B09HTWBZ66","B09HTWBZ66","8.93","0.00","0.00","0.00","22.69","0.00","7days"
"ministry of nuts pack of 5","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","470","B09HTWBZ66","B09HTWBZ66","3.29","0.12","0.10","0.00","19.28","0.00","7days"
"nature purify dry fruits combo pack","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","1467","B09995Z12L","B09995Z12L","6.92","2.19","1.24","26.92","43.34","0.00","7days"
"nutraj dry fruits combo pack","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","2237","B07JN5QNSK","B08JZDG9CN","4.26","1.69","1.29","0.00","29.11","0.00","7days"
"dry fruits natraj","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","1-100","4337","B07JN5QNSK","B088ZPXW4N","14.88","0.00","7.87","0.00","50.00","0.00","7days"
"ministry of nuts family pack of 5","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","1-100","4980","B09HTWBZ66","B09VZ446DR","4.65","2.78","2.27","0.00","17.95","0.00","7days"
"greenfinity nut mix","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","1-100","7321","B0BBC5D72P","B01LY6B085","0.00","41.89","34.41","0.00","7.53","0.00","7days"
"nature purify mix dry fruits","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","1-100","8749","B0BNBGSQ53","B08JRB4YMV","6.73","41.18","30.43","0.00","45.56","0.00","7days"
"ministry of nuts dry fruits","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","1-100","11888","B09VH13GL6","B09HTWBZ66","7.50","2.86","7.27","0.00","21.88","0.00","7days"
"ministry of nuts family pack of 5 premium dry fruits","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","1-100","11939","B09HTWBZ66","B09HTWBZ66","8.11","0.00","0.00","0.00","0.00","0.00","7days"
"ministry of nuts pack of 5 premium","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","1-100","12023","B09HTWBZ66","B08LSDY5B5","4.74","0.00","0.00","0.00","9.04","0.00","7days"
"mixed berries and nuts for plum cake","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","1-100","13020","B07SYLJFZ6","B09LD3ZB96","11.22","7.14","8.18","0.00","8.62","0.00","7days"
