"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"jabsons peanuts","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1K-5K","289","B088BW2T78","B071DJ8W7J","2.57","0.00","0.00","0.00","6.66","0.00","7days"
"tong garden peanuts","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1K-5K","371","B07V4WWBGR","B0B5Y4W92R","3.89","0.00","0.00","0.00","20.44","0.00","7days"
"haldiram peanuts","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","100-1K","555","B01HCYY3VS","B0B5Y4W92R","0.35","0.00","0.00","0.00","0.00","0.00","7days"
"tong garden salted peanuts","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","100-1K","1767","B07V4WWBGR","B09B7PKHZ7","2.45","0.00","0.00","0.00","19.32","0.00","7days"
"jabson","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","100-1K","2550","B096NRGMCC","B071DJ8W7J","0.90","2.52","4.08","0.00","3.45","0.00","7days"
"diamond peanuts","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","100-1K","2822","B083BSL7BH","B08TTN8VMW","0.21","0.00","0.00","0.00","0.00","0.00","7days"
"haldiram salted peanuts","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","100-1K","3237","B01HCYY3VS","B07KXGFGSS","1.93","0.00","0.00","0.00","0.00","0.00","7days"
"jabson peanut","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1-100","4970","B088BW2T78","B096NRGMCC","1.07","0.00","0.00","0.00","15.91","0.00","7days"
"jabsons roasted peanuts","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1-100","5860","B088BW2T78","B07KXGFGSS","1.50","0.00","0.00","0.00","0.00","0.00","7days"
"tong garden roasted peanuts","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1-100","9600","B00AJNB43U","B00ILIBKXY","1.43","0.00","0.00","0.00","0.00","0.00","7days"
"24 mantra peanuts raw","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1-100","9643","B00L925LKW","B00M57WJQ4","1.29","0.00","0.00","0.00","0.00","0.00","7days"
"24 mantra peanuts","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1-100","10218","B00L925LKW","B00M57WJQ4","1.45","0.00","0.00","0.00","0.00","0.00","7days"
"24 mantra organic","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1-100","12246","B00L925LKW","B0956NRMWB","0.00","0.44","0.42","0.00","3.33","0.00","7days"
"shrego peanut plus roasted peanut salted","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1-100","12941","B08TSW2X54","B08TT5NPWS","0.00","18.18","0.00","0.00","0.00","0.00","7days"
