"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"sft dry fruits and nuts","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1K-5K","335","B075X3N2W9","B09WRMXP9Z","8.40","11.33","9.74","0.00","18.43","0.00","7days"
"natraj dry fruits","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1K-5K","441","B07JN5QNSK","B01LZ5DFW2","6.82","15.71","12.87","0.00","39.82","0.00","7days"
"sft","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","100-1K","676","B075MGLPMK","B09HTWBZ66","6.92","3.52","2.41","0.00","9.38","0.00","7days"
"nutraj pistachios","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","100-1K","795","B07DL8YV85","B015T5A7NK","23.87","43.81","42.06","62.61","32.59","0.00","7days"
"tulsi pistachios","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","100-1K","1057","B01NCIHFCU","B08487WD3J","37.29","63.71","55.46","0.00","48.19","0.00","7days"
"gourmia pistachios","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","100-1K","1338","B01N3C3RQ9","B08487WD3J","12.67","49.69","47.18","13.60","50.73","0.00","7days"
"vinnie pistachio","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","100-1K","2072","B09R3ZMS8F","B0B4B4T88X","31.46","48.94","41.27","0.00","48.40","0.00","7days"
"dry fruits nutraj","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","100-1K","2956","B07CK575ZB","B07BKRDDN4","7.21","22.77","21.75","0.00","34.43","0.00","7days"
"gourmia dry fruits","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","100-1K","3567","B074P1GL74","B09961RZ7V","5.48","21.31","20.79","0.00","34.40","0.00","7days"
"gourmia","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","100-1K","3653","B01N3C3RQ9","B0992MLYPH","7.49","44.33","40.34","11.22","28.19","0.00","7days"
