"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"vedaka raisins","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1262","B07GR3S1RR","B07GR82XJR","7.19","36.34","37.68","59.76","29.32","0.00","7days"
"sft raisins","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","3225","B075Q5NCS6","B08PDDM6L6","17.15","20.97","18.57","0.00","59.52","3.96","7days"
"tulsi kishmish 1kg offers","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","3610","B091751145","B07GR82XJR","23.08","40.00","41.03","0.00","67.65","0.00","7days"
"vedaka black raisin","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","5240","B08JR78WB7","B07GR346FX","13.48","54.55","47.62","0.00","33.33","4.97","7days"
"farmley black raisins","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","6609","B08CNBCB6N","B08JR78WB7","15.41","34.33","30.38","0.00","52.38","0.00","7days"
"vedaka raisins 500g","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","6618","B07GR3S1RR","B07GR3S1RR","8.97","32.98","35.29","0.00","25.25","0.00","7days"
"vedaka kismis","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","6704","B07GR3S1RR","B07GR82XJR","7.12","31.82","31.25","0.00","17.89","0.00","7days"
"farmley raisins","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","6979","B0BQ5N8B9J","B08CNB4DMR","6.81","12.70","14.81","0.00","41.10","0.00","7days"
"munaka tulsi","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","7048","B07KPFCDTC","B086ZW8NT5","13.64","0.00","0.00","0.00","0.00","0.00","7days"
"tulsi munakka dry fruits 1kg","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","7117","B08RSL9582","B08RSL9582","7.36","20.63","22.43","0.00","45.07","0.00","7days"
"farmley kishmish","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","7531","B08CNB4DMR","B08PDDM6L6","8.81","3.23","2.56","0.00","47.37","0.00","7days"
"vedaka kishmish","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","7569","B07GR82XJR","B07GR82XJR","10.29","32.00","34.43","0.00","27.94","0.00","7days"
"nutraj black raisins","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","7680","B07PWQLRHY","B01LZH17BR","24.05","52.94","40.85","0.00","62.32","0.00","7days"
"vedaka raisins 1kg","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","8610","B07GR3S1RR","B07GR82XJR","6.91","26.03","27.16","0.00","22.89","0.00","7days"
"tulsi kishmish 500gm","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","9032","B09BDC8ZKX","B07GR3S1RR","20.75","25.00","25.00","0.00","55.77","0.00","7days"
"sft black raisins","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","10766","B082DGBD7J","B086ZW8NT5","17.39","46.67","44.12","0.00","65.00","0.00","7days"
"vedaka raisin","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","10831","B07GR3S1RR","B07GR82XJR","9.74","22.22","24.53","0.00","24.07","0.00","7days"
"sft raisin","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","12979","B086ZW8NT5","B086ZW92MC","13.30","13.04","0.00","0.00","0.00","0.00","7days"
"nutraj kismis","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","13630","B07VWBMRQ6","B07GR346FX","10.15","32.43","26.67","0.00","40.00","0.00","7days"
"sft black raisin","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","14039","B01LZH17BR","B082DG5J8Z","14.06","41.18","0.00","0.00","0.00","0.00","7days"
"nutraj kismis 500gm","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","15451","B07VX6596Y","B0758JGNHN","24.48","60.00","47.22","0.00","48.57","0.00","7days"
