"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"almond","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","50K-100K","4","B084884GKX","B0992KMQYL","20.03","34.87","31.80","30.00","50.13","49.89","7days"
"almonds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","50K-100K","8","B084884GKX","B0992KMQYL","18.08","32.44","29.73","20.06","44.06","25.90","7days"
"almonds 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","50K-100K","11","B084884GKX","B084884GKX","17.41","40.85","34.43","22.08","56.44","27.34","7days"
"almonds 1kg offers low price","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","10K-50K","15","B0992KMQYL","B0BNNDSV2H","19.96","22.45","20.09","16.73","54.37","18.51","7days"
"badam","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","10K-50K","16","B084884GKX","B084884GKX","13.83","39.99","34.94","24.06","43.04","33.41","7days"
"badam 1kg offers","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","10K-50K","17","B0B1WTLDWN","B0992KMQYL","17.17","38.54","31.88","27.01","57.05","27.57","7days"
"badam 500g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","10K-50K","33","B084884GKX","B084884GKX","20.22","39.92","35.88","13.12","53.81","30.56","7days"
"almonds 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","10K-50K","42","B0992KMQYL","B0992KMQYL","17.25","21.75","20.44","13.58","54.13","23.65","7days"
"happilo almonds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","10K-50K","72","B01LY6B08A","B084884GKX","71.67","59.18","56.89","19.92","60.03","7.97","7days"
"mamra almonds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","5K-10K","83","B073SV86PJ","B09NFMJLYQ","6.00","5.00","4.54","0.00","39.43","0.00","7days"
"roasted cashews","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","5K-10K","86","B09314YCY4","B0B5LSKTD1","6.97","14.39","13.10","31.24","31.51","33.58","7days"
"badam 250 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","5K-10K","91","B078N84FY2","B01LY6B08A","10.67","26.09","24.47","23.15","41.51","86.28","7days"
"almonds 250 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","5K-10K","97","B08HKTJMVS","B01LY6B08A","20.98","41.22","36.42","21.86","57.46","41.07","7days"
"fresh amazon fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","5K-10K","122","B085NTZMVR","B07P83KS62","31.70","2.48","4.58","0.00","18.82","121.82","7days"
"almond 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","5K-10K","125","B084884GKX","B084884GKX","18.71","41.43","35.57","21.60","42.20","14.33","7days"
"dry fruits in fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","5K-10K","129","B01LY6B085","B07GR3S1RR","27.34","40.98","34.84","10.77","34.02","34.32","7days"
"california almonds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1K-5K","136","B084884GKX","B0992KMQYL","23.42","21.62","19.79","18.98","62.70","18.39","7days"
"roasted almond","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1K-5K","140","B01LYTLO7H","B09WRMDZ3G","9.57","9.74","8.52","23.02","27.28","26.54","7days"
"strawberry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1K-5K","146","B097HPLRYT","B08M5SSBHQ","14.46","22.74","21.22","18.73","13.90","0.00","7days"
"mamra badam","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1K-5K","153","B073SV86PJ","B09NFMJLYQ","11.29","3.07","3.12","16.59","41.51","0.00","7days"
