"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"anjeer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","50K-100K","7","B01LL2BK72","B0758D65V3","4.69","9.15","7.15","12.20","3.81","0.00","7days"
"figs dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","10K-50K","36","B01LL2BK72","B0758D65V3","4.45","2.37","1.80","13.65","5.65","0.00","7days"
"fig","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","10K-50K","52","B01LL2BK72","B0758D65V3","8.87","10.42","8.48","24.76","4.12","0.00","7days"
"anjeer 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","10K-50K","61","B0B63C615W","B099KGD1C2","2.22","7.87","5.78","62.08","4.09","0.00","7days"
"anjeer 500g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","5K-10K","93","B01LL2BK72","B0758D65V3","1.01","8.50","6.33","20.80","4.31","0.00","7days"
"figs","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","5K-10K","96","B01LL2BK72","B0758D65V3","7.86","9.92","7.82","23.28","4.59","0.00","7days"
"dry fig","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1K-5K","214","B01LL2BK72","B0758D65V3","4.31","9.32","7.53","21.41","2.64","0.00","7days"
"dried figs","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1K-5K","231","B01LL2BK72","B0758D65V3","4.36","8.99","7.21","70.45","4.38","0.00","7days"
"anjeer dry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1K-5K","262","B01LL2BK72","B0758D65V3","18.23","16.02","12.05","3.36","4.65","0.00","7days"
"dry figs","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1K-5K","413","B01LL2BK72","B0758D65V3","3.39","8.66","7.28","50.78","4.73","0.00","7days"
"anjeer in fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1K-5K","448","B0758D65V3","B0758D65V3","29.55","62.01","51.16","1.82","22.94","0.00","7days"
"dry anjeer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","536","B08V6VXB7T","B0758D65V3","3.77","9.56","7.80","16.11","4.07","0.00","7days"
"dry figs 500g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","581","B0BMVZ2BKG","B0758D65V3","1.32","9.21","7.55","102.03","5.40","0.00","7days"
"fig dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","699","B08H2FHXQN","B08H2FHXQN","5.74","0.33","0.23","0.00","6.96","0.00","7days"
"dried fig","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","711","B08V6VXB7T","B0758D65V3","5.95","10.74","9.06","31.04","3.77","0.00","7days"
"à¤…à¤‚à¤œà¥€à¤°","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","810","B01LL2BK72","B0758D65V3","4.99","6.71","4.94","0.00","1.16","0.00","7days"
"figs in fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","978","B0BGQ28B34","B0758D65V3","29.10","53.81","51.21","1.75","30.77","0.00","7days"
"figs dry fruits 500g offers","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","1028","B01LL2BK72","B0758D65V3","1.28","2.57","1.92","0.00","3.26","0.00","7days"
"anjeera","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","1036","B0B63C615W","B0BG38LNLT","11.39","2.11","1.71","0.00","36.54","0.00","7days"
"organic anjeer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","1075","B08H2FHXQN","B09TRT25ZS","0.92","8.54","6.36","0.00","3.35","0.00","7days"
"dry figs 250 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","1213","B08HHJWXRM","B0758D65V3","3.01","10.37","8.94","33.92","2.20","0.00","7days"
"afghani anjeer 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","1227","B0BHR5NH57","B099KGD1C2","0.35","10.05","6.66","0.00","3.07","0.00","7days"
"angeer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","1236","B0BMVZNTC2","B09TJNFYQK","2.95","0.00","0.00","0.00","0.00","0.00","7days"
"turkish figs","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","1283","B0B3RVL6BS","B08NCQGVCH","1.33","6.28","4.30","0.00","7.39","0.00","7days"
"anjeer 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","1312","B01LL2BK72","B0BL146MBD","11.39","12.57","8.81","0.00","3.81","0.00","7days"
"dry anjeer 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","1338","B08ZJJX1L2","B0758D65V3","0.06","6.67","5.08","6.29","3.57","0.00","7days"
"turkish anjeer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","1409","B09ZSP9S4S","B0B84BHJJN","0.06","6.43","4.75","0.00","1.66","0.00","7days"
"injeer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","1438","B01LL2BK72","B013U6IJNU","5.13","0.00","0.00","0.00","0.00","0.00","7days"
"dried+figs+1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","1457","B0B63C615W","B08NCQGVCH","0.33","4.93","5.88","0.00","3.94","0.00","7days"
"anjura dry fruits 250 gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","1733","B08V6VXB7T","B077FZF336","7.81","6.03","4.30","0.00","35.02","0.00","7days"
"figs dry fruits 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","1856","B08JJ5XBXF","B099KGD1C2","4.60","5.33","3.31","0.00","3.56","0.00","7days"
"buy again","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","1896","B01HGN96GW","B00YRE41C8","4.14","0.00","0.00","0.00","2.82","0.00","7days"
"anzira dry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","2002","B01LL2BK72","B01LZH58GI","7.28","16.16","18.32","0.00","24.04","0.00","7days"
"figs anjeer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","2019","B01LL2BK72","B0758D65V3","7.10","5.16","4.51","6.47","2.84","0.00","7days"
"anjeer dry fruits 1kg offers low price","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","2243","B0758D65V3","B0758D65V3","39.55","73.47","0.00","1.40","76.19","0.00","7days"
"anjeer figs","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","2251","B0758D65V3","B08NCXDP2S","1.34","4.95","4.75","0.00","1.39","0.00","7days"
"dried figs anjeer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","2277","B08V6VXB7T","B0BQBJGBXV","10.50","6.92","6.53","46.60","2.51","0.00","7days"
"dry anjeer 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","2381","B08H2FHXQN","B099J7WQ4S","0.00","7.32","4.98","0.00","2.83","0.00","7days"
"dried+figs","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","2446","B01LL2BK72","B0758D65V3","2.81","0.00","0.00","0.00","0.00","0.00","7days"
"figs+anjeer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","2523","B0BMVZNTC2","B09TJNFYQK","2.90","8.00","6.90","0.00","2.62","0.00","7days"
"anjeer organic","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","2526","B08H2FHXQN","B0758D65V3","0.94","7.53","4.87","0.00","3.96","0.00","7days"
"anjeer/+fig","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","2537","B01LL2BK72","B08NCQGVCH","2.27","5.45","4.71","0.00","2.26","0.00","7days"
