"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"apricots dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","10K-50K","71","B082DGW7DF","B07PZWP8Z1","3.28","2.96","2.46","12.19","26.68","61.62","7days"
"apricot","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","5K-10K","95","B082DGW7DF","B07PZWP8Z1","3.70","2.99","2.52","22.42","1.25","0.00","7days"
"rose petals","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","1K-5K","175","B08RBQJ84Y","B098MFGJJV","0.07","0.00","0.00","0.00","0.00","0.00","7days"
"apricots dry fruits 1kg offer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","1K-5K","260","B082DGW7DF","B0B3RHTWC7","4.58","0.80","0.62","0.00","26.78","0.00","7days"
"dried apricot","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","1K-5K","281","B082DGW7DF","B07PZWP8Z1","2.26","3.43","3.25","8.83","2.27","0.00","7days"
"raspberry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","1K-5K","299","B0966XW7QM","B07GR2G678","10.84","1.61","1.39","0.00","3.63","0.00","7days"
"apricots","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","1K-5K","411","B082DGW7DF","B0B3RHTWC7","3.29","2.66","2.18","0.00","1.34","0.00","7days"
"dry rose petals","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","100-1K","486","B08RBQJ84Y","B07Q232THM","0.02","0.00","0.00","0.00","0.44","0.00","7days"
"dried rose petal","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","100-1K","488","B08RBQJ84Y","B098MFGJJV","0.00","3.09","0.00","0.00","0.00","0.00","7days"
"dry apricots","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","100-1K","565","B082DGW7DF","B07NCNQMNM","2.87","1.97","1.53","0.00","28.34","0.00","7days"
"khumani dry fruits 1kg offer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","100-1K","841","B078LJJCHF","B07PZWP8Z1","3.80","0.87","0.72","0.00","17.83","0.00","7days"
"rose petals dried","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","100-1K","874","B08X2YBGHS","B098MFGJJV","0.09","0.00","0.00","0.00","0.00","0.00","7days"
"dried apricots","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","100-1K","930","B077QVZ771","B07NCNQMNM","11.32","5.25","4.34","6.65","2.56","0.00","7days"
"khumani","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","100-1K","991","B078LJJCHF","B07NCNQMNM","1.40","0.00","0.00","0.00","0.00","0.00","7days"
"happilo apricots","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","100-1K","1032","B082DGDZM9","B0992L2L9F","17.67","30.11","22.05","21.90","21.12","0.00","7days"
"rose petals edible","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","100-1K","1154","B08X2YBGHS","B07Q232THM","0.25","0.00","0.00","0.00","0.00","0.00","7days"
"dry apricot","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","100-1K","1349","B078LJJCHF","B07NCNQMNM","6.65","3.82","3.64","0.00","22.90","0.00","7days"
"apricots dry fruits 500 gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","100-1K","1546","B07NCNQMNM","B07PZWP8Z1","3.35","1.91","1.75","0.00","23.08","0.00","7days"
"apricots dry fruits 250 gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","100-1K","1745","B0BF5S3P9N","B0BBVT194D","5.31","0.67","0.57","0.00","32.71","0.00","7days"
"edible rose petals","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","100-1K","1780","B08RBQJ84Y","B098MFGJJV","0.08","0.00","0.00","0.00","0.00","0.00","7days"
"dried raspberry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","100-1K","1810","B0966XW7QM","B07YX71GP6","3.93","4.61","6.31","0.00","31.33","0.00","7days"
"raspberry dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","100-1K","1935","B0966XW7QM","B08JZDG9CN","9.02","0.53","0.90","0.00","36.05","0.00","7days"
"dried apricots dry fruit 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","100-1K","2081","B082DGW7DF","B08PNY1W2F","4.25","2.19","1.76","0.00","26.15","0.00","7days"
"dried rose petals edible organic","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","100-1K","2252","B08X2YBGHS","B07Q232THM","0.00","5.60","4.85","0.00","0.73","0.00","7days"
"apricot 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","100-1K","2396","B082DGW7DF","B08NCH6SY3","5.02","1.22","0.69","0.00","11.71","0.00","7days"
"dried rose petals","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","100-1K","2458","B08RBQJ84Y","B09PBQPKSN","0.13","0.00","0.00","0.00","0.00","0.00","7days"
"khumani dry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","100-1K","2821","B01M04G25G","B07NCNQMNM","1.74","2.31","1.81","0.00","16.02","0.00","7days"
"happilo apricots 200gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","100-1K","3202","B0992L2L9F","B0992L2L9F","13.98","23.67","17.08","7.14","11.57","0.00","7days"
"turkish apricots dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","1-100","4099","B094YP7QHR","B07PZWP8Z1","2.60","5.95","5.00","0.00","26.67","0.00","7days"
"apricot kernel","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","1-100","4231","B0BHPDH1NB","B0BM944TW8","0.33","3.01","2.82","0.00","6.21","0.00","7days"
"apricot seeds for cancer treatment","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","1-100","4311","B01DPZI5YE","B0BM91MTQ7","0.00","2.75","2.19","0.00","5.71","0.00","7days"
"khubani dry fruits 1kg offer big size","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","1-100","4356","B078LJJCHF","B07PZWP8Z1","15.98","3.03","2.22","0.00","46.53","0.00","7days"
"appricot","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","1-100","4369","B08RF2QXCQ","B08H2J2KZD","2.05","0.00","0.00","0.00","0.00","0.00","7days"
"dried apricots 200gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","1-100","4634","B07NCNQMNM","B077QVZ771","3.49","4.71","3.01","0.00","14.50","0.00","7days"
"apricots dry fruits 1kg offer big size","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","1-100","4666","B082DGW7DF","B08T187ZBF","4.02","3.92","3.03","0.00","18.29","0.00","7days"
"apricot kernels","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","1-100","4744","B07SVPVD5K","B0BM937LDY","2.27","6.80","6.54","0.00","1.67","0.00","7days"
"happilo dry fruits apricot","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","1-100","4792","B0B6CFD11S","B0992L2L9F","17.55","17.05","13.39","0.82","17.56","0.00","7days"
"apricot+dry+fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","1-100","5345","B09SLTKWWK","B07PZWP8Z1","1.24","0.00","0.00","0.00","0.00","0.00","7days"
"apricot dry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","1-100","6065","B0BCG9FHCR","B07NWJR2NF","5.50","3.49","2.94","0.00","26.32","0.00","7days"
"raspberry fresh fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","1-100","6180","B07TN592GY","B07TM3FWH3","4.60","6.19","7.03","0.00","14.17","0.00","7days"
"apricot fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","1-100","6362","B0BCG9FHCR","B08H2J2KZD","2.96","13.33","10.91","0.00","11.65","0.00","7days"
"apricots dried","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","1-100","6642","B08T187ZBF","B01M04G25G","24.71","20.45","0.00","0.10","0.00","0.00","7days"
