"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","100K-200K","1","B0BHJDKLKK","B08JZDG9CN","32.32","7.05","7.92","19.30","40.73","28.14","7days"
"cashew","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","50K-100K","9","B01LZ5DPXD","B08487XKYR","12.70","26.98","25.07","19.20","38.87","55.38","7days"
"kaju","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","50K-100K","12","B01LZ5DPXD","B08487XKYR","18.15","28.33","27.20","25.31","41.62","36.41","7days"
"cashews 500g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","10K-50K","14","B08487XKYR","B08487XKYR","11.69","28.39","25.46","16.68","41.48","37.85","7days"
"dry fruits 1kg offers low price","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","10K-50K","19","B08P1FLDB8","B08JZDG9CN","14.17","17.71","18.08","35.62","39.09","47.08","7days"
"kaju 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","10K-50K","25","B08487XKYR","B08487XKYR","9.39","37.92","33.11","23.12","40.25","32.06","7days"
"kaju 1_kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","10K-50K","29","B07V2F223N","B0992N4SCC","8.79","26.00","21.78","14.43","44.31","17.44","7days"
"nuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","10K-50K","34","B01LZ5DFW2","B09WRMXP9Z","28.50","10.65","11.65","29.62","26.99","40.65","7days"
"cashews","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","10K-50K","44","B01LZ5DPXD","B08487XKYR","13.37","29.23","26.93","19.45","29.92","30.07","7days"
"cashew 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","10K-50K","46","B0992N4SCC","B0992N4SCC","17.31","34.49","25.56","14.09","48.79","17.37","7days"
"anjeer dry fruits 1kg offer big size","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","10K-50K","49","B08H2FHXQN","B013U6IJNU","0.77","2.97","2.15","72.08","3.93","0.00","7days"
"cashew nuts 1 kg packet offers","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","10K-50K","53","B07X9NLL8T","B0992N4SCC","6.88","15.51","11.89","11.46","35.94","18.93","7days"
"anjeer 250 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","10K-50K","73","B08V6VXB7T","B0758D65V3","0.95","7.94","6.13","21.21","3.47","0.00","7days"
"kaju 250 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","5K-10K","80","B07V3JH43F","B01LZ5DPXD","16.23","48.90","41.75","29.77","49.56","57.00","7days"
"cashew nuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","5K-10K","82","B01LZ5DPXD","B08487XKYR","11.20","30.13","26.77","18.55","34.02","24.92","7days"
"cashew 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","5K-10K","99","B09GNSDZVW","B08487XKYR","15.04","32.76","30.13","21.44","35.38","28.35","7days"
"pine nuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","5K-10K","100","B08P9SQ8RY","B01H8Y2VV6","7.03","15.22","12.25","32.26","16.61","0.00","7days"
"amazon food online","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","5K-10K","111","B07GQRWYNP","B08S7B6RJC","3.28","1.89","1.97","0.00","20.26","0.00","7days"
"happilo cashew","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","5K-10K","114","B01LZ5DPXD","B08487XKYR","66.87","45.72","43.85","12.97","53.33","45.56","7days"
"cashew 250 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","5K-10K","116","B01LZ5DPXD","B01LZ5DPXD","13.23","42.68","36.84","21.90","43.62","10.66","7days"
"salted cashew","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cashews","5K-10K","131","B09314YCY4","B0B5LSKTD1","9.96","28.71","24.24","27.43","36.01","109.07","7days"
