"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"dates","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","100K-200K","2","B0758J61YD","B096ZFNK2D","17.00","11.41","12.49","16.43","20.70","18.73","7days"
"dates 1kg pack","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","10K-50K","23","B0847HG7NN","B0758J61YD","0.82","11.05","9.62","25.19","15.87","45.20","7days"
"dates 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","10K-50K","37","B07NPXLPVM","B084885G2J","4.53","23.28","20.19","23.38","12.28","23.60","7days"
"dry dates","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","10K-50K","63","B075X38QVC","B08TBZGVZJ","14.13","5.72","6.63","15.67","28.02","46.25","7days"
"dates dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","10K-50K","74","B0758J61YD","B077FXXBM6","22.40","33.09","25.84","11.91","10.79","0.00","7days"
"khajur","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","5K-10K","78","B077FXXBM6","B0758J61YD","12.00","16.51","15.80","150.74","26.44","37.55","7days"
"khajoor dates","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","5K-10K","101","B077FXXBM6","B077FXXBM6","6.73","15.04","12.16","33.35","12.81","52.76","7days"
"ajwa dates","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","5K-10K","108","B099FDHLXT","B08R1YYCZ8","0.42","0.30","0.52","0.00","1.88","0.00","7days"
"khajur dry fruits 1kg offer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","5K-10K","109","B08PC8VH9V","B096ZFNK2D","6.12","14.66","14.30","40.97","28.81","76.11","7days"
"happilo dates","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","5K-10K","118","B0758JN85Y","B0758J61YD","63.53","64.45","55.01","13.80","26.17","0.00","7days"
"medjool dates","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","5K-10K","119","B07SFGTKNY","B08J7ZMM1L","0.43","2.75","3.43","0.00","11.45","0.00","7days"
"khajoor","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","1K-5K","141","B077FXXBM6","B0758J61YD","8.01","15.52","12.18","32.30","13.24","20.28","7days"
"seedless dates","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","1K-5K","152","B099WFJZR1","B084885G2J","4.91","22.10","19.48","36.44","11.58","17.77","7days"
