"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"peanuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","10K-50K","28","B07KXGFGSS","B07KXGFGSS","0.02","0.02","0.02","0.00","2.92","0.00","7days"
"peanut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","10K-50K","33","B07KXGFGSS","B07KXGFGSS","0.02","0.03","0.02","0.00","2.47","0.00","7days"
"groundnut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","10K-50K","51","B00M57WJQ4","B07KXGFGSS","0.05","0.00","0.00","0.00","3.00","0.00","7days"
"fresh amazon fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","5K-10K","111","B085NTZMVR","B074MD7DGS","7.47","1.38","3.32","0.00","5.89","0.00","7days"
"roasted peanuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","5K-10K","133","B083BSL7BH","B07KXGFGSS","1.72","0.01","0.01","0.00","3.32","0.00","7days"
"ground nut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1K-5K","181","B07MNFRFR3","B07KXGFGSS","3.70","0.00","0.00","0.00","5.80","0.00","7days"
"salted peanuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1K-5K","201","B01HCYY3VS","B07VLHW1PW","2.93","0.00","0.04","0.00","4.79","0.00","7days"
"peanut raw","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1K-5K","228","B07MNFRFR3","B07KXGFGSS","4.06","0.00","0.00","0.00","2.58","0.00","7days"
"peanuts raw","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1K-5K","236","B07KXGFGSS","B07KXGFGSS","1.58","0.00","0.00","0.00","4.69","0.00","7days"
"fresh amazon fresh store","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1K-5K","262","B07KXGFGSS","B07H2FSSPQ","3.93","0.07","0.22","0.00","4.95","0.00","7days"
"raw peanuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1K-5K","283","B07KXGFGSS","B07KXGFGSS","0.59","0.07","0.06","0.00","4.71","0.00","7days"
