"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"chilgoja in dry fruits 250 gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pine Seeds","100-1K","623","B08RSQ5BPC","B08P9SQ8RY","6.11","0.00","0.00","0.00","29.06","0.00","7days"
"pine+nuts+1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pine Seeds","100-1K","933","B08RSSPZ2K","B0992M2WS3","2.00","20.00","17.24","0.00","8.95","0.00","7days"
"chilgoza dry fruits 100gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pine Seeds","100-1K","1137","B08RXRL5WZ","B08P9SQ8RY","5.10","0.00","0.00","0.00","26.18","0.00","7days"
"pinenuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pine Seeds","100-1K","1581","B08P9SQ8RY","B0992M2WS3","4.87","16.15","11.96","0.00","9.46","0.00","7days"
"pine nuts with shell","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pine Seeds","100-1K","2077","B08RSQ5BPC","B08P9SQ8RY","3.64","0.00","0.00","0.00","20.00","0.00","7days"
"pine+nuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pine Seeds","100-1K","2999","B08P9SQ8RY","B09NKXPZF1","5.36","18.57","17.39","0.00","19.61","0.00","7days"
"gond chilgoza","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pine Seeds","1-100","3747","B09RZV9V46","B08Y79LCPZ","0.31","0.00","0.00","0.00","0.00","0.00","7days"
"chilgoza dry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pine Seeds","1-100","6329","B07KBZR4SD","B08P9SQ8RY","0.86","17.05","16.55","0.00","12.38","0.00","7days"
"fine nuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pine Seeds","1-100","6427","B07ZWK2PR2","B09R4DGRH9","10.39","2.50","8.96","0.00","12.31","0.00","7days"
"pine+nuts+organic","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pine Seeds","1-100","7031","B099NSBZNN","B08P9SQ8RY","1.36","0.00","0.00","0.00","0.00","0.00","7days"
"chigoja dry food best quality","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pine Seeds","1-100","7478","B08RSQ5BPC","B01LY6B085","0.00","6.45","5.43","0.00","2.27","0.00","7days"
"best+pine+nuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pine Seeds","1-100","9078","B099RVKWLL","B09314YCY4","0.27","16.67","15.31","0.00","1.47","0.00","7days"
"dry fruits pine nuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pine Seeds","1-100","10115","B01N9Z7THS","B0922XH573","3.54","18.52","9.80","0.00","33.33","0.00","7days"
"chilgoza dry fruits 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pine Seeds","1-100","11287","B0BN69RG4D","B08GZXBGFG","4.62","17.02","12.70","0.00","27.59","0.00","7days"
"chilgoza pine nuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pine Seeds","1-100","12316","B08P9SQ8RY","B082ZGYFP9","0.00","10.10","9.35","0.00","3.92","0.00","7days"
