"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"pista","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","50K-100K","10","B01LZ5DFW2","B01LZ5DFW2","29.56","37.42","34.88","21.36","49.87","26.39","7days"
"happilo dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","10K-50K","21","B01LZ5DFW2","B01LY6B085","72.54","91.52","88.18","18.94","57.76","19.28","7days"
"pista 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","10K-50K","22","B08487WD3J","B08487WD3J","19.85","53.74","47.83","12.71","41.53","22.12","7days"
"pistachios","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","10K-50K","35","B01LZ5DFW2","B01LZ5DFW2","27.27","38.61","36.53","15.41","47.18","22.83","7days"
"happilo","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","10K-50K","41","B0758J61YD","B01LY6B085","73.68","93.18","88.01","12.62","49.65","15.76","7days"
"pista 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","10K-50K","57","B07M9SJK8Q","B08487WD3J","18.15","30.94","32.08","21.97","45.81","24.78","7days"
"pista 250 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","10K-50K","64","B01LZ5DFW2","B01LZ5DFW2","25.79","60.82","53.19","19.25","54.91","25.02","7days"
"anjir","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1K-5K","139","B08V6VXB7T","B0758D65V3","13.53","8.24","6.47","13.96","28.12","39.80","7days"
"pistachio","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1K-5K","143","B01LZ5DFW2","B01LZ5DFW2","27.40","37.24","34.09","19.64","46.90","28.66","7days"
"pistachios 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1K-5K","145","B08ZD1DXKV","B08487WD3J","21.78","45.89","41.41","16.95","54.78","20.16","7days"
"pistachios 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1K-5K","200","B08487WD3J","B08487WD3J","21.26","42.29","36.86","15.31","57.84","21.40","7days"
"happilo pistachio","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1K-5K","213","B01LZ5DFW2","B01LZ5DFW2","67.48","79.54","77.74","14.35","38.82","15.23","7days"
"pista without shell","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1K-5K","233","B08BDHZJS6","B0992MLYPH","15.84","35.58","30.94","41.59","49.49","7.75","7days"
