"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"prunes","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Prunes","5K-10K","76","B00RTBV0R0","B07GQWRZKN","4.98","0.00","0.00","0.00","17.70","0.00","7days"
"prune","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Prunes","100-1K","684","B00RTBV0R0","B07GQWRZKN","6.20","0.00","0.00","0.00","6.80","0.00","7days"
"aloo bukhara dry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Prunes","100-1K","825","B07NDSF4JL","B07N3Y2HZG","0.41","0.00","0.15","0.00","14.95","0.00","7days"
"prunes dried","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Prunes","100-1K","1366","B00RTC14FM","B07GQWRZKN","29.29","18.50","22.89","0.00","7.32","0.00","7days"
"plums dry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Prunes","100-1K","1485","B09SBND5C4","B07GQWRZKN","0.92","2.30","2.62","0.00","4.32","0.00","7days"
"alubukhar dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Prunes","100-1K","1917","B07NDSF4JL","B09KV4WRHB","1.36","0.53","0.39","0.00","18.11","0.00","7days"
"alu bukhara dry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Prunes","100-1K","2213","B07NDSF4JL","B074MCCDLN","2.23","0.00","0.27","0.00","32.95","0.00","7days"
"dried plum aloo bukhara","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Prunes","100-1K","2332","B07N3Y2HZG","B09NCYXGXT","0.08","0.00","0.00","0.00","0.00","0.00","7days"
"dried+prunes","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Prunes","100-1K","2405","B00OOHS0AC","B09HPXHJMZ","5.84","0.51","0.40","0.00","22.82","0.00","7days"
"prunes fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Prunes","100-1K","3049","B07GQWRZKN","B07GQWRZKN","21.00","0.00","1.10","0.00","10.14","0.00","7days"
"plum cakes in fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Prunes","100-1K","3088","B0758J61YD","B00RTBV0R0","44.87","75.46","72.34","0.00","0.00","0.00","7days"
"prunes 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Prunes","100-1K","3249","B07GQZSS53","B09HPXHJMZ","4.72","0.00","2.42","0.00","19.76","0.00","7days"
"albakara fruits dry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Prunes","100-1K","3269","B07NDSF4JL","B074MCCDLN","3.51","0.00","0.00","0.00","11.52","0.00","7days"
"prunes 200gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Prunes","1-100","4605","B07GQWRZKN","B00RTBV0R0","8.78","0.00","1.05","0.00","15.38","0.00","7days"
"plums","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Prunes","1-100","4999","B081Z7SPL1","B074MCCDLN","0.19","0.00","0.00","0.00","0.00","0.00","7days"
"prunes dry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Prunes","1-100","6491","B00RTBV0R0","B08H2HK75G","21.40","0.00","0.00","0.00","14.81","0.00","7days"
"albukar dry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Prunes","1-100","6595","B07NDSF4JL","B08JZDG9CN","4.52","16.67","17.92","0.00","31.37","0.00","7days"
"dry banana fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Prunes","1-100","6663","B013K7PS10","B09QGTVT5B","1.52","10.81","7.60","0.00","5.19","0.00","7days"
"prunes dry fruits 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Prunes","1-100","6720","B01MUYB0XH","B00RTBV0R0","1.93","0.00","0.00","0.00","0.00","0.00","7days"
"alpakoda fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Prunes","1-100","7806","B07NDSF4JL","B07N3Y2HZG","0.65","0.00","0.00","0.00","12.10","0.00","7days"
