"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"pumpkin seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","50K-100K","6","B07GQRWYNP","B07GQW1HJC","5.99","11.94","13.56","30.63","5.97","0.00","7days"
"pumpkin seeds for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","10K-50K","50","B07GQRWYNP","B07GQW1HJC","6.98","11.14","11.74","23.31","12.83","35.84","7days"
"pumpkin seeds 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","5K-10K","81","B08296TRWV","B073XRDYT3","3.02","0.06","0.25","0.00","26.27","15.19","7days"
"pumpkin seed","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","1K-5K","149","B07GQRWYNP","B07GQW1HJC","9.11","18.24","17.83","23.90","4.62","0.00","7days"
"pumpkin seeds 250 gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","1K-5K","151","B074J7R9RQ","B07GQW1HJC","9.17","20.76","19.27","19.54","38.75","20.40","7days"
"pumpkin seeds 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","1K-5K","172","B07GQWST7Y","B07GQWST7Y","2.84","14.73","14.46","48.92","27.16","0.00","7days"
"roasted pumpkin seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","1K-5K","273","B07587K8S5","B07GQWST7Y","9.64","24.25","22.16","19.96","19.70","0.00","7days"
"pumpkin seeds 100gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","1K-5K","311","B07GQRWYNP","B07GQRWYNP","4.56","7.57","9.76","101.86","26.91","10.39","7days"
"pumkin seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","1K-5K","349","B07GQRWYNP","B07GQW1HJC","5.38","0.00","0.00","0.00","0.00","0.00","7days"
"roasted pumpkin seeds for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","607","B07587K8S5","B07WRCP5KN","9.32","20.00","19.60","0.00","17.17","0.00","7days"
"pumpkin seeds roasted","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","608","B07587K8S5","B07WRCP5KN","10.74","23.92","21.35","50.40","19.34","0.00","7days"
"pumpkin seeds and sunflower seeds combo","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","625","B08VRVP5SS","B0851L15DR","2.45","0.20","0.50","0.00","17.04","3.11","7days"
"pumkin seed","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","650","B07GQRWYNP","B07GQW1HJC","6.50","20.00","0.00","0.00","0.00","0.00","7days"
"pumpkin seeds in fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","829","B07GQRWYNP","B07GQW1HJC","8.75","25.81","25.18","16.87","4.67","0.00","7days"
"pumpkin+seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","881","B07GQRWYNP","B08Y74ZT96","4.22","15.59","16.36","0.00","7.03","0.00","7days"
"kaddu ke beej","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","1070","B09H2XX7W6","B07GQWST7Y","0.11","11.29","11.46","0.00","3.63","0.00","7days"
"happilo pumpkin seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","1133","B0758JN87N","B07587K8S5","52.01","54.01","51.15","8.40","18.60","0.00","7days"
"pumpkin seeds for eating 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","1217","B08KS3BTWN","B07GQW1HJC","3.35","0.00","1.41","0.00","14.60","0.00","7days"
"pumpkin seeds 1 kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","1220","B08296TRWV","B07GQWST7Y","0.63","0.00","0.00","0.00","12.85","0.00","7days"
"pumkinseeds 500 gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","1320","B09TFSLFMN","B07GQWST7Y","2.95","0.00","0.00","0.00","0.00","0.00","7days"
"salted pumpkin seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","1443","B08WCK6WLD","B07587K8S5","11.99","29.02","23.72","18.00","36.14","0.00","7days"
"sunflower and pumpkin seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","1480","B08Y6H19BZ","B01F8UA1AA","3.86","0.00","2.01","0.00","17.72","0.00","7days"
"pumpkin seeds organic","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","1549","B07R55QNXB","B0B3T42341","3.38","1.55","3.36","0.00","15.57","0.00","7days"
"pumpkin seeds 1_kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","1618","B0B6SPPDCW","B07587K8S5","4.43","10.06","12.31","0.00","28.82","0.00","7days"
"chia seeds flax seeds pumpkin seeds sunflower seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","1744","B07J3BSNJ4","B0851L15DR","0.57","1.08","1.70","0.00","4.30","0.00","7days"
"raw pumpkin seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","1811","B07R55QNXB","B07GQWST7Y","6.21","10.11","13.09","0.00","13.71","0.00","7days"
"organic pumpkin seeds for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","1847","B07R55QNXB","B0B3T42341","3.39","8.30","9.06","0.00","15.77","0.00","7days"
"pumpkin+seed","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","1865","B07GQRWYNP","B06X9P143F","3.65","8.89","11.72","0.00","3.64","0.00","7days"
"pumpkin seeds raw","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","2039","B07R55QNXB","B07GQWST7Y","6.62","11.45","10.10","0.00","17.33","0.00","7days"
"happilo seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","2141","B0992MVNW2","B07587K8S5","46.85","78.97","70.98","4.97","20.45","0.00","7days"
"happilo pumpkin seeds roasted","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","2321","B07587K8S5","B07587K8S5","40.11","49.44","46.97","11.43","9.86","0.00","7days"
"sunflower and pumpkin seeds combo","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","2366","B08Y6H19BZ","B0BBK2NWMS","3.24","0.53","1.29","0.00","16.74","0.00","7days"
"pumpkin seeds powder","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","2370","B07GQW1HJC","B077FLP13S","5.92","31.65","30.52","0.00","8.64","0.00","7days"
"vedaka pumpkin seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","2459","B07GQW1HJC","B07GQW1HJC","9.28","8.63","7.69","0.00","14.98","0.00","7days"
"raw pumpkin seeds 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","2515","B06WGP7PSQ","B077FLP13S","3.67","3.11","2.89","3.27","21.05","5.09","7days"
