"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"sunflower seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","50K-100K","15","B01MAZ37UC","B07GQNLN8S","0.95","0.00","0.00","26.38","1.95","0.00","7days"
"sunflower seeds for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","5K-10K","94","B01MAZ37UC","B06WWP5JRD","1.88","0.35","0.36","0.00","2.44","0.00","7days"
"sunflower seed","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","1K-5K","319","B01MAZ37UC","B07GQNLN8S","1.78","0.00","0.00","0.00","0.00","0.00","7days"
"sunflower seeds 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","1K-5K","334","B08294GFKB","B075T5C3WN","0.42","0.21","0.25","0.00","1.26","0.00","7days"
"sun flowers seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","1K-5K","419","B01MAZ37UC","B07GQNLN8S","0.81","0.11","0.46","0.00","4.74","0.00","7days"
"roasted sunflower seeds for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","100-1K","789","B013SUH4AC","B0BF5DTPJK","2.76","0.20","1.18","0.00","3.03","0.00","7days"
"roasted sunflower seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","100-1K","909","B013SUH4AC","B0BF5H81GV","4.16","0.19","0.42","0.00","4.89","0.00","7days"
"sun flower seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","100-1K","1029","B01MAZ37UC","B07GQNLN8S","1.13","0.00","0.00","0.00","0.00","0.00","7days"
"organic sunflower seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","100-1K","1061","B07R61Z6F2","B06WWP5JRD","0.50","0.19","0.33","0.00","2.50","0.00","7days"
"happilo sunflower seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","100-1K","1840","B07Q8MZC18","B07Q7KKYJV","29.49","1.76","1.67","0.00","29.12","0.00","7days"
"salted sunflower seeds for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","100-1K","2196","B09PVQ98H1","B0BF5DTPJK","3.63","0.93","7.65","0.00","7.27","0.00","7days"
"sunflower+seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","100-1K","2395","B01MAZ37UC","B06WWP5JRD","0.27","0.00","0.00","0.00","0.00","0.00","7days"
"sunflower+seeds+for+eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","100-1K","2965","B01MAZ37UC","B06WWP5JRD","0.22","0.00","0.00","0.00","0.00","0.00","7days"
"sunflower seeds 1kg for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","100-1K","3108","B08294GFKB","B075T5C3WN","0.11","0.00","0.00","0.00","2.87","0.00","7days"
"sunflower seeds with shell for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","100-1K","3161","B09Y9D9GMM","B09SLXDDPP","0.18","0.00","0.00","0.00","5.30","0.00","7days"
"sunflower seeds in fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","100-1K","3180","B07ZNWB6ZT","B07GQNLN8S","15.24","0.00","0.00","0.00","0.00","0.00","7days"
"sunflowers seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","100-1K","3396","B07R61Z6F2","B07GQNLN8S","0.26","0.00","0.00","0.00","0.00","0.00","7days"
"sunflower seeds roasted salted","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","100-1K","3583","B07Q8MZC18","B09LTCYHLF","4.16","8.18","9.05","0.00","5.66","0.00","7days"
"sun flower seed","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","100-1K","3748","B09SLBS4DB","B07GQNLN8S","4.56","1.35","1.21","0.15","0.64","0.00","7days"
"bbq sunflower seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","100-1K","3868","B09FB27ZN1","B09SLXDDPP","0.93","2.70","0.00","0.00","0.00","0.00","7days"
"surajmukhi ke beej","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","1-100","4289","B09FJQ95LQ","B07H2MJC31","0.77","0.72","0.48","0.00","4.51","0.00","7days"
"sunflower seeds for eating 100gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","1-100","4557","B074ZLTSBF","B0B77KDGNH","0.88","0.00","0.00","0.00","0.00","0.00","7days"
"vedaka sunflower seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","1-100","4624","B07GQNLN8S","B07GQNLN8S","1.91","0.00","0.00","0.00","0.00","0.00","7days"
"whole sunflower seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","1-100","4784","B0B1X95TWF","B07GQNLN8S","3.83","0.00","0.00","0.00","0.00","0.00","7days"
"sunflower seeds salted roasted","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","1-100","5784","B07S3FK4V8","B07BSDB8NH","2.29","4.55","5.00","0.00","2.63","0.00","7days"
"sunflour seed","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","1-100","6951","B08VRVP5SS","B07GQNLN8S","1.46","0.00","0.00","0.00","0.00","0.00","7days"
"sun flowers seeds for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","1-100","7569","B01MAZ37UC","B07GQNLN8S","0.22","0.00","0.00","0.00","0.00","0.00","7days"
"salted seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","1-100","7641","B08SCD5FPV","B0B97SQNFQ","9.97","0.00","9.46","0.00","17.65","0.00","7days"
"sun flower seeds for eating 250 gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","1-100","7847","B01MAZ37UC","B07GR2G67L","1.25","1.22","0.00","0.00","0.00","0.00","7days"
"seeds sunflower","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","1-100","8654","B01MAZ37UC","B06WWP5JRD","0.31","0.00","0.00","0.00","0.00","0.00","7days"
"sunflower seed for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","1-100","8829","B06WWP5JRD","B06WWP5JRD","3.07","0.00","0.00","0.00","0.00","0.00","7days"
"sunflower seeds without shell","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","1-100","8987","B07Q7KKYJV","B07GQNLN8S","1.65","0.00","0.00","0.00","0.00","0.00","7days"
"sunflower seeds for eating 1kg roasted","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","1-100","9039","B08294GFKB","B01MAZ37UC","3.88","2.22","0.00","0.00","0.00","0.00","7days"
"roasted sunflower seeds for eating salted","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","1-100","9254","B07Q8MZC18","B0BF5H81GV","3.45","0.00","0.00","0.00","0.00","0.00","7days"
"organic sunflower seeds for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","1-100","9328","B075492LLK","B01MAZ37UC","0.65","0.00","0.00","0.00","0.00","0.00","7days"
"sunflower seeda","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","1-100","9679","B08S3Y69RL","B07BSDB8NH","0.82","0.00","0.00","0.00","0.00","0.00","7days"
"sunflower seends","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","1-100","9689","B08VRVP5SS","B07GQNLN8S","0.87","0.00","0.00","0.00","0.00","0.00","7days"
"sunglower seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","1-100","9903","B01MAZ37UC","B07GQNLN8S","0.81","0.00","0.00","0.00","0.00","0.00","7days"
"seeds sunflower for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","1-100","10343","B01MAZ37UC","B06WWP5JRD","1.17","0.00","0.00","0.00","0.00","0.00","7days"
"sunflower seeds to eat","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","1-100","10716","B08YZ41Y2T","B01MAZ37UC","4.65","0.00","0.00","0.00","17.02","0.00","7days"
"eating food","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","1-100","11024","B0B6RN96M1","B0B6RN96M1","4.21","0.69","0.00","0.00","0.00","0.00","7days"
"sunflower seeds 250 gm for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","1-100","11079","B01MAZ37UC","B07Q7KKYJV","3.62","2.38","2.00","0.00","5.41","0.00","7days"
"pumpkin watermelon sunflower seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","1-100","11212","B095PDLLL1","B0928TR6XB","0.99","0.00","1.75","0.00","6.41","0.00","7days"
"sunflower sheeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","1-100","12896","B07GQNLN8S","B0912BY6MG","1.14","0.00","0.00","0.00","0.00","0.00","7days"
"vedaka seeds combo pack","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","1-100","13063","B07GQQLZPD","B082V8JSYR","0.00","9.30","7.27","0.00","8.20","0.00","7days"
"sunflawar seed","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","1-100","14413","B07KK5B5H7","B07GQNLN8S","0.98","0.00","0.00","0.00","0.00","0.00","7days"
"sunflowerseed","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","1-100","14554","B088XLZDJC","B07GQNLN8S","5.08","0.00","0.00","0.00","0.00","0.00","7days"
"sunflower seeds raw","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","1-100","15085","B01MAZ37UC","B075T5C3WN","4.60","2.44","1.89","0.00","0.00","0.00","7days"
"sunflowerseeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","1-100","15508","B01MAZ37UC","B07GQNLN8S","0.53","0.00","0.00","0.00","0.00","0.00","7days"
"peeled sunflower seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","1-100","17184","B09PJLLQSM","B07GQNLN8S","2.29","0.00","0.00","0.00","0.00","0.00","7days"
"sun seeds for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","1-100","17319","B07GQW1HJC","B01MAZ37UC","3.57","4.55","0.00","0.00","0.00","0.00","7days"
"pumpkin seed, sun flower seed for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","1-100","17653","B09JCL4W55","B0928TR6XB","2.82","0.00","0.00","0.00","0.00","0.00","7days"
