"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"walnut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","50K-100K","5","B01LWJQ6KJ","B01LWJQ6KJ","17.60","35.24","31.09","26.25","15.05","31.31","7days"
"walnuts 1kg without shell","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","10K-50K","13","B06X6KRZW1","B0758D65W6","5.65","21.22","18.91","31.62","24.60","26.21","7days"
"walnuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","10K-50K","24","B01LWJQ6KJ","B01LWJQ6KJ","20.29","32.96","29.03","23.15","9.35","17.60","7days"
"walnuts 500gm without shell","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","10K-50K","40","B091MTZD7G","B01ABU07GU","9.58","30.12","26.08","19.19","21.75","41.09","7days"
"akhrot 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","10K-50K","43","B013U6HANA","B0758D65W6","8.42","26.68","24.42","19.84","22.19","38.76","7days"
"akhrot","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","10K-50K","55","B01LWJQ6KJ","B01LWJQ6KJ","16.88","35.70","30.17","32.25","29.00","41.14","7days"
"walnuts without shell","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","5K-10K","75","B01LWJQ6KJ","B01ABU07GU","10.24","31.42","26.15","17.87","14.35","21.28","7days"
"wallnuts nuts 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","5K-10K","89","B07M9DN2ND","B0758D65W6","8.46","27.49","21.25","24.21","24.58","0.00","7days"
"akhrot 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","5K-10K","104","B07P56M78L","B0758JDCYB","12.58","36.67","31.90","24.38","31.90","29.92","7days"
"wallnut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","5K-10K","110","B01LWJQ6KJ","B0758JDCYB","18.93","41.80","37.56","19.42","23.29","41.12","7days"
"walnut kernel","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","5K-10K","113","B01LWJQ6KJ","B01ABU07GU","14.59","20.31","19.64","20.41","25.63","42.18","7days"
"wallnuts nuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","5K-10K","120","B01LWJQ6KJ","B0758JDCYB","14.86","39.50","34.91","18.97","22.54","55.53","7days"
"walnuts 250gm without shell","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","5K-10K","127","B01ABU05XK","B01LWJQ6KJ","10.75","29.15","26.19","18.36","30.93","18.76","7days"
"walnuts 1kg with shell","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Walnuts","5K-10K","134","B075NSDLKB","B0758D65W6","5.89","28.80","26.89","29.66","26.20","102.65","7days"
