"keyword","keywordType","category","subcategory","traffic","categoryRank","searchVolumeGrowthWOW","searchVolumeGrowthVsTrailing4WeekAvg","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"tulsi anjeer","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","838","14.38","3.30","B01LL2BK72","B0758D65V3","11.02","11.91","10.19","14.29","2.71","0.00","7days"
"happilo anjeer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1K-5K","344","33.49","58.92","B0758D65V3","B0758D65V3","75.53","13.18","11.38","4.28","42.01","44.50","7days"
"organic anjeer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","1213","26.52","34.46","B08H2FHXQN","B0758D65V3","5.79","11.62","8.05","0.00","3.95","0.00","7days"
"happilo figs","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","1445","25.00","66.47","B0758D65V3","B0758D65V3","75.41","13.61","11.22","6.05","38.87","13.19","7days"
"anjeer in fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1K-5K","317","24.70","20.25","B0758D65V3","B0758D65V3","29.76","70.64","58.76","1.64","5.42","0.00","7days"
"anjeer 250 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","5K-10K","88","17.37","25.21","B08V6VXB7T","B0758D65V3","7.84","11.90","9.72","23.86","2.79","0.00","7days"
"dried fig","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","945","10.38","7.99","B08V6VXB7T","B0758D65V3","9.43","12.76","11.04","10.32","6.05","0.00","7days"
"anjeer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","50K-100K","8","8.75","14.88","B0758D65V3","B0758D65V3","6.75","14.44","12.90","14.09","3.99","0.00","7days"
"1kg anjeer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","1660","7.53","69.96","B075MGMQY5","B08FMD9HSH","2.95","4.24","3.98","0.00","0.83","0.00","7days"
"anjir","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1K-5K","169","7.14","14.77","B08V6VXB7T","B0758D65V3","19.69","15.49","13.37","18.97","23.80","0.00","7days"
"dry fig","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1K-5K","247","6.77","3.10","B01LL2BK72","B0758D65V3","10.29","14.97","13.52","17.93","9.59","0.00","7days"
"dried anjeer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","1731","5.76","6.54","B08V6VXB7T","B0758D65V3","5.15","13.90","12.12","17.09","4.46","0.00","7days"
"anjeer dry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1K-5K","274","0.81","11.52","B01LL2BK72","B0758D65V3","17.40","20.79","17.25","8.62","5.32","0.00","7days"
"figs dry fruits 250g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","873","0.05","1.64","B08V6VXB7T","B0758D65V3","7.45","14.96","14.15","18.20","7.18","0.00","7days"
