"keyword","keywordType","category","subcategory","traffic","categoryRank","searchVolumeGrowthWOW","searchVolumeGrowthVsTrailing4WeekAvg","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"dried rose petals edible organic","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","100-1K","1572","18.30","17.53","B08X2YBGHS","B08X2YBGHS","0.00","2.44","2.60","0.00","1.32","0.00","7days"
"dry rose petals","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","1K-5K","513","17.50","22.30","B08RBQJ84Y","B07PZ7PJ3R","1.03","0.00","0.00","0.00","3.53","0.00","7days"
"rose petal","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","100-1K","1152","16.91","27.90","B08RBQJ84Y","B07PZ7PJ3R","0.04","0.00","0.00","0.00","0.00","0.00","7days"
"rose petals","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","1K-5K","224","5.14","7.95","B08RBQJ84Y","B07PZ7PJ3R","0.09","0.00","0.00","0.00","0.00","0.00","7days"
"apricots","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","1K-5K","315","3.85","8.69","B082DGDZM9","B01M04G25G","4.57","5.31","4.21","45.53","1.36","0.00","7days"
"rasberry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","100-1K","925","3.48","15.18","B0B2LJV3JR","B07GR8351K","10.40","5.51","5.41","0.00","26.84","0.00","7days"
"khumani dry fruits 1kg offer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","100-1K","821","1.45","-2.79","B078LJJCHF","B07NCNQMNM","10.55","4.95","4.02","0.00","16.74","0.00","7days"
"dried apricot","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","1K-5K","230","0.50","6.85","B082DGDZM9","B07NCNQMNM","4.70","5.93","4.69","30.97","7.86","0.00","7days"
"dried apricots","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","100-1K","832","0.33","-6.40","B078LJJCHF","B01M04G25G","8.73","6.84","6.12","8.07","2.00","0.00","7days"
"apricot","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Apricots","10K-50K","84","0.30","6.83","B082DGDZM9","B01M04G25G","5.36","5.96","4.66","30.74","1.24","0.00","7days"
