"keyword","keywordType","category","subcategory","traffic","categoryRank","searchVolumeGrowthWOW","searchVolumeGrowthVsTrailing4WeekAvg","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"dried plums","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","100-1K","987","45.43","71.01","B08NHNKX4G","B00RTBV0R0","4.49","0.00","0.00","0.00","24.34","0.00","7days"
"blueberries fresh fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1K-5K","397","25.90","61.30","B07BG8V84G","B07GR24VMZ","25.32","5.54","5.56","0.00","68.45","19.76","7days"
"goji berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","100-1K","865","25.02","26.21","B0714KWZ7P","B01HM9TJH6","5.83","3.44","2.94","0.00","16.18","0.00","7days"
"rum soaked dry fruits for plum cake","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","100-1K","1283","17.40","45.20","B07SYLJFZ6","B0B3135YSS","14.08","7.43","5.96","0.00","24.04","0.00","7days"
"happilo blueberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","100-1K","1389","16.79","-5.35","B01LYTOXJ1","B0758J9P5T","73.81","48.91","44.01","0.00","61.54","0.00","7days"
"blueberry fresh fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1K-5K","289","11.53","19.11","B01MCVLVC7","B09PJD7MVG","20.59","13.15","11.08","35.83","54.00","35.84","7days"
"blueberries dry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","100-1K","970","9.34","12.40","B01MCVLVC7","B07GQWST7K","17.60","7.45","6.36","0.00","45.94","8.38","7days"
"plums dry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","100-1K","1454","7.98","25.41","B08NHNKX4G","B00RTBV0R0","2.56","0.00","0.00","0.00","0.00","0.00","7days"
"dried kiwi","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1K-5K","354","6.85","17.03","B09SLPNMYC","B08SW7HGY9","8.02","0.99","0.87","18.06","27.13","0.00","7days"
"blue berry fruit dry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1K-5K","378","6.22","-1.67","B01MCVLVC7","B01AWJJ1Y4","19.25","7.03","6.95","45.10","53.77","23.33","7days"
"dried blueberry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","100-1K","1263","5.19","17.59","B01LYTOXJ1","B07GQWST7K","23.19","0.64","0.69","0.00","50.88","11.24","7days"
"blue berry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1K-5K","248","3.98","16.71","B01MCVLVC7","B01LYTOXJ1","22.93","10.98","10.09","20.86","53.35","13.01","7days"
"blueberry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","10K-50K","62","3.85","5.40","B01MCVLVC7","B07GQWST7K","24.04","2.34","2.59","8.41","55.31","37.32","7days"
"dried prunes","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","100-1K","688","2.81","-0.85","B00OOHS0AC","B00RTBV0R0","6.92","0.09","0.08","0.00","23.56","0.00","7days"
"blueberries without sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","100-1K","685","1.94","11.45","B08ZDDHWFT","B07GQWST7K","14.56","1.65","1.59","0.00","55.75","117.66","7days"
"blue berry fruit fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","100-1K","1649","1.68","6.00","B07B1333MK","B07GR24VMV","20.34","18.65","15.06","0.00","58.25","0.00","7days"
"goji berry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1K-5K","405","1.11","6.55","B01HM9TJH6","B08RC5LGQ1","3.01","0.63","0.66","0.00","14.78","0.00","7days"
"blueberry dry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","10K-50K","86","0.56","1.84","B01MCVLVC7","B08RP86P5C","19.01","6.83","5.54","19.96","53.74","19.42","7days"
"blue berry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1K-5K","161","0.33","1.07","B01MCVLVC7","B07GR82XK8","19.76","11.90","11.99","0.00","51.38","21.64","7days"
