"keyword","keywordType","category","subcategory","traffic","categoryRank","searchVolumeGrowthWOW","searchVolumeGrowthVsTrailing4WeekAvg","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"rostaa dry fruits","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1157","9.37","37.70","B00OOHSTI0","B07WBY2FDQ","12.31","15.36","12.13","0.00","40.96","0.00","7days"
"dry mix fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1820","49.58","94.59","B0974SDFX7","B08JTBYKDW","18.47","10.29","10.19","7.90","53.06","0.00","7days"
"happilo cranberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1360","35.73","24.75","B01LZ58JYF","B01LZ59BPM","40.23","59.68","57.45","4.67","58.39","0.00","7days"
"dried fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1143","34.68","29.68","B09SLPNMYC","B099KNZ4QM","20.28","13.72","9.87","0.00","46.24","0.00","7days"
"happilo berries mix","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1541","34.43","55.89","B01LXIWNMH","B01LXIWNMH","62.44","59.90","51.85","20.05","31.40","0.00","7days"
"cranberry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1596","30.10","8.55","B08RC79MN2","B07GR2G678","11.84","2.25","2.59","0.00","33.00","0.00","7days"
"dry fruits for plum cake","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","754","26.60","88.50","B08QJ5XTKC","B07LFJY8FP","14.55","14.97","13.55","0.00","35.98","14.78","7days"
"mixed berries dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","806","25.87","38.14","B01LXIWNMH","B09LD3ZB96","23.48","7.49","7.52","42.19","54.00","0.00","7days"
"can berry dry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1676","24.77","25.44","B08RC79MN2","B07GQS1669","16.61","4.55","5.06","3.11","32.13","0.00","7days"
"canbarriers fruit dry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1280","20.96","47.62","B07G4F87SP","B07GR24VMV","10.72","6.06","7.66","0.00","30.08","0.00","7days"
