"keyword","keywordType","category","subcategory","traffic","categoryRank","searchVolumeGrowthWOW","searchVolumeGrowthVsTrailing4WeekAvg","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"flax seeds 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","1K-5K","259","25.48","37.57","B07GQZ7ZVT","B06XW6F9QG","0.15","0.00","0.00","0.00","0.00","0.00","7days"
"flex seed","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","1K-5K","338","14.59","8.11","B07GR346G4","B06XW7BSFV","0.11","0.00","0.00","0.00","0.00","0.00","7days"
"roasted flax seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","1K-5K","406","8.96","1.82","B07BSHM94V","B0B42K2DYM","4.39","0.00","0.05","0.00","0.70","0.00","7days"
"alsi seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","599","8.48","9.81","B07GR346G4","B07GR346G4","0.12","0.00","0.00","0.00","0.00","0.00","7days"
"flax seed powder","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","609","7.67","-0.48","B091XX868R","B091XX868R","0.02","0.00","0.00","0.00","0.00","0.00","7days"
"alsi seeds 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","1K-5K","202","5.50","9.88","B08HV5SH8Z","B09VDQMPWB","0.03","0.00","0.04","0.00","0.12","0.00","7days"
"roasted flax seeds for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","493","5.03","1.02","B0B42K2DYM","B06XW7BSFV","3.59","0.00","0.00","0.00","0.00","0.00","7days"
"flax seeds 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","5K-10K","102","3.92","0.84","B08HV5SH8Z","B07GQZ7ZVT","0.02","0.02","0.02","0.00","0.08","0.00","7days"
"flax seed","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","1K-5K","155","3.23","-0.03","B07GR346G4","B06XW7BSFV","1.06","0.00","0.00","0.00","0.00","0.00","7days"
"magaj seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","1K-5K","397","3.21","-5.19","B08F4BD11B","B074Z8YLT8","2.85","1.81","1.94","0.00","3.88","0.00","7days"
"flaxseeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","498","2.86","-1.15","B07GR346G4","B07GQZ7ZVT","0.24","0.00","0.00","0.00","0.00","0.00","7days"
"flex seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","5K-10K","126","2.75","-6.32","B07GR346G4","B06XW7BSFV","0.30","0.00","0.00","0.00","0.00","0.00","7days"
"flack seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","693","1.27","-19.72","B08HV5SH8Z","B07GR346G4","1.75","0.00","0.00","0.00","0.14","0.00","7days"
"avisa seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","1325","0.92","-9.91","B07MN45CB2","B06XW6F9QG","3.77","2.52","2.60","0.00","0.29","0.00","7days"
