"keyword","keywordType","category","subcategory","traffic","categoryRank","searchVolumeGrowthWOW","searchVolumeGrowthVsTrailing4WeekAvg","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"ministry of nuts","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","1K-5K","407","14.35","14.80","B09HTWBZ66","B09HTWBZ66","8.93","0.00","0.00","0.00","22.69","0.00","7days"
"dry fruit powder for baby","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","626","33.64","2.19","B07D8R1VBB","B07D8R1VBB","0.47","0.94","3.02","0.00","12.09","0.00","7days"
"fruits in fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","1191","18.76","60.40","B07BG7D7SC","B0758JN85Y","19.64","35.32","29.11","0.00","38.10","0.00","7days"
"kiwi","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","1K-5K","321","13.00","5.21","B07Q8MPBHT","B0BBH9L6Y9","8.39","0.08","0.06","0.00","5.81","0.00","7days"
"strawberry dry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","1158","10.87","7.06","B07Q8MPFDK","B08M5SSBHQ","7.08","3.32","3.82","0.00","11.26","5.55","7days"
"dry kiwi","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","1K-5K","387","9.05","10.26","B07Q8MPBHT","B0B3MYZ1YX","13.68","4.73","6.13","0.00","36.76","0.00","7days"
"dry fruits combo pack 1kg offers low price","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","465","5.32","-3.78","B098SYW5TD","B08JZDG9CN","7.22","3.04","4.45","0.00","32.60","20.45","7days"
"dry fruits powder for adults","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","1061","4.55","-2.89","B07D8R1VBB","B091FS3LTG","0.20","0.53","1.48","0.00","7.32","0.00","7days"
"kivi fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","639","3.80","-3.43","B0BBLVLSSN","B07Q8MPBHT","8.02","14.82","11.58","5.07","9.80","0.00","7days"
"fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","5K-10K","130","2.61","3.74","B01LYTOXJ1","B0BGBTTLLQ","37.82","5.49","9.30","85.71","25.05","0.00","7days"
"mixed dry fruits 1kg offers low price","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","1K-5K","179","1.47","-6.52","B09JSBL8PS","B01LY6B085","8.26","28.72","25.39","33.21","38.59","0.00","7days"
