"keyword","keywordType","category","subcategory","traffic","categoryRank","searchVolumeGrowthWOW","searchVolumeGrowthVsTrailing4WeekAvg","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"berries and nuts mix","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1310","16.85","3.47","B09P9Y4XRD","B08JTBYKDW","9.25","43.96","43.10","0.00","33.79","0.00","7days"
"true elements","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","1K-5K","276","10.43","40.90","B082SWR3GS","B082SXVPSH","4.02","0.15","0.21","0.00","10.62","0.00","7days"
"paperboat dry fruits","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","1K-5K","325","0.36","-0.11","B09QGTVT5B","B09WRMXP9Z","1.69","3.19","8.16","12.10","22.65","0.00","7days"
"khari foods seeds and berries crunch","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","786","113.04","306.47","B077TTWG8H","B07X7X8QH6","0.00","0.24","0.31","0.00","0.79","0.00","7days"
"candle nuts for diabetics","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","566","112.62","319.29","B08X4WGVTY","B0BFBN338D","0.08","0.00","0.00","0.00","0.00","0.00","7days"
"seeds and berries mix","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1323","64.48","110.58","B09P9Y4XRD","B09P9Y4XRD","0.56","25.06","22.91","0.00","22.19","0.00","7days"
"salted nuts roasted mixed","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1285","55.32","56.28","B09FT6T6L2","B09WRMXP9Z","14.11","28.51","27.62","5.60","16.25","0.00","7days"
"super seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1271","53.13","50.78","B09SLYM3HT","B082SWR3GS","1.41","2.24","3.55","0.00","4.61","0.00","7days"
"fig 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","691","45.99","13.97","B08H2FHXQN","B09TJNFYQK","1.37","2.79","2.10","0.00","3.37","0.00","7days"
"dry+fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1437","40.72","28.28","B084884GKX","B08JZDG9CN","24.15","3.73","2.73","0.00","24.44","0.00","7days"
"combo dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1429","39.36","48.83","B0993BXH64","B08JZDG9CN","3.89","2.99","4.24","0.00","39.09","0.00","7days"
"aloo bukhara","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","508","31.77","46.08","B09SBNT3ML","B07N3Y2HZG","0.09","0.00","0.05","0.00","2.20","0.00","7days"
"pumkin seeds 250g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","744","31.21","162.43","B074J7R9RQ","B07GQW1HJC","0.65","0.00","0.00","0.00","0.00","0.00","7days"
"chironji","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","522","25.04","15.91","B0896W9GQJ","B01I5PHYVY","3.14","3.44","3.66","0.00","5.26","0.00","7days"
"cashew and almonds combo","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1175","23.88","5.26","B07P485VWW","B09WRMXP9Z","8.17","4.71","5.98","0.00","8.10","0.00","7days"
"seed mix for weight loss","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1089","23.55","15.72","B077TTB3FX","B082SWR3GS","0.30","15.28","14.33","0.00","3.96","0.00","7days"
"grocery items all","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","5K-10K","103","22.05","62.28","B084884GKX","B073XRDYT3","56.86","8.97","10.07","0.00","6.33","8.41","7days"
"pumpkin and sunflower seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1092","20.84","5.50","B088XLZDJC","B07GQNLN8S","0.04","0.71","2.13","0.00","2.55","0.00","7days"
"super food","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1360","19.24","62.26","B082VDMCQ5","B082PFLC41","0.32","0.00","0.00","0.00","3.08","0.00","7days"
"almon","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1388","18.90","32.50","B01LY6B08A","B084884GKX","10.50","24.31","21.05","27.02","1.94","0.00","7days"
"super seeds mix for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1136","17.36","29.37","B0851L15DR","B082SWR3GS","0.06","5.78","6.98","0.00","7.02","0.00","7days"
"organic pumpkin seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","592","16.98","14.98","B07R55QNXB","B0B3T42341","2.43","1.85","2.67","0.00","20.54","0.00","7days"
"kirkland mixed nuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","792","16.84","28.62","B003E3OTPC","B09QGTVT5B","3.66","14.76","13.05","0.00","27.95","0.00","7days"
"sprouts seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","837","15.42","3.64","B0B1HWRB7M","B01M6ZAIXL","0.07","0.18","0.14","0.00","6.74","0.00","7days"
"dry figs 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","456","14.32","17.85","B07YS46MT6","B0758D65V3","2.06","3.91","3.07","0.00","3.67","0.00","7days"
"hazlenut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","795","14.20","-29.42","B08JR78WB7","B08S7B6RJC","12.00","5.72","5.59","0.00","30.20","0.00","7days"
"all seeds combo pack","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","504","13.97","37.12","B094ZDM9TC","B01F8UA1AA","0.10","1.64","3.55","0.00","2.04","0.00","7days"
"mix dry fruits 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1331","12.95","33.84","B075X3N2W9","B01LY6B085","6.27","41.99","29.47","0.00","37.93","21.03","7days"
"nut mix","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","1K-5K","297","12.43","-5.98","B01LY6B085","B01LY6B085","11.45","42.29","39.75","16.79","19.34","0.00","7days"
"avacado","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1311","12.39","22.03","B07XP59M48","B08S7B6RJC","0.15","0.00","0.00","0.00","0.00","0.00","7days"
"sodexo payment card accepted products","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1074","11.81","-11.98","B0992KMQYL","B08487XKYR","13.32","33.97","30.06","0.00","2.89","0.00","7days"
"charoli","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1337","11.71","2.41","B09CGV3CSR","B07X26MCD6","1.83","6.83","6.19","0.00","9.57","0.00","7days"
"garden cress seeds for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1184","11.53","-32.20","B075454BJF","B099WCGLG3","0.00","5.09","6.76","0.00","0.00","0.00","7days"
"dry fruits and nuts combo pack","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1018","11.51","64.14","B0974JHBB4","B08JTYZKNG","15.66","29.59","23.02","0.00","40.50","13.02","7days"
"amond","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","705","11.50","-0.66","B01LY6B08A","B084884GKX","15.69","28.22","27.37","46.89","6.35","0.00","7days"
"panjeeri with dry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1167","10.91","32.88","B09M71DFX9","B09QGTVT5B","0.26","11.23","14.90","0.00","0.73","0.00","7days"
"amazon brand - vedaka","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","1K-5K","185","10.42","6.68","B07GQRWYNP","B07GR82XJR","1.00","1.30","1.07","0.00","2.73","3.90","7days"
"raisen","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","859","10.38","-1.80","B06WVBRCJ4","B07GR3S1RR","16.03","21.13","22.01","0.00","17.52","0.00","7days"
"aliv seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","1K-5K","337","9.66","6.64","B099WCGLG3","B099WCGLG3","0.05","3.44","3.07","0.00","0.00","0.00","7days"
"dryfruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","1K-5K","256","9.59","7.89","B08P1FLDB8","B08JZDG9CN","33.58","21.57","0.00","0.00","19.05","0.00","7days"
"almond and cashew combo","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1029","9.59","0.18","B07P485VWW","B0993BXH64","6.58","0.53","0.64","0.00","6.03","0.00","7days"
"nuts and seeds mix","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1000","9.52","8.67","B09RSQH1Y6","B09KHDM6YV","0.65","11.75","10.20","0.00","6.68","0.00","7days"
"baadaam","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","1K-5K","394","9.23","-4.31","B0992KMQYL","B084884GKX","6.77","24.98","21.61","18.45","4.16","0.00","7days"
"neje dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1247","8.76","7.05","B08SL6WVLK","B08P9SQ8RY","3.09","26.10","26.98","0.00","11.69","0.00","7days"
"seeds for eating combo pack","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","985","8.66","20.83","B094ZDM9TC","B09T3LN71Y","0.00","0.46","3.43","0.00","1.30","0.00","7days"
"terrasoul superfoods","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1415","7.95","167.98","B0BHJD6KBX","B0BHJGQCF9","0.00","0.47","0.41","0.00","2.63","0.00","7days"
"kirkland nuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1405","7.95","17.76","B003E3OTPC","B09RMHHZPN","8.01","6.55","5.68","0.00","14.38","0.00","7days"
"anzeer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","463","7.80","17.08","B09TJMP82G","B0758D65V3","5.62","7.24","5.73","7.29","5.44","0.00","7days"
"all dry fruits combo pack","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","758","7.73","0.69","B08X2M94KM","B08JZDG9CN","13.09","4.04","4.63","0.00","42.51","11.57","7days"
"athipalam","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1040","7.72","17.86","B0BGXYM1PG","B08H2FHXQN","2.15","0.00","0.00","0.00","0.00","0.00","7days"
"angir","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1183","7.31","17.15","B0758D65V3","B0BG38LNLT","3.38","0.00","0.00","0.00","0.00","0.00","7days"
"dry fruits mixed pack","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","1K-5K","208","6.84","2.90","B01LY6B085","B01LY6B085","14.79","26.51","26.37","50.31","39.21","59.36","7days"
"mix dry fruits and nuts 1kg offer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","5K-10K","128","6.61","6.17","B09RRPDBLV","B09WRMXP9Z","9.37","33.94","28.94","46.12","43.06","0.00","7days"
"turkish apricot","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1033","6.30","-5.67","B07YVF4WYY","B01M04G25G","1.59","4.10","3.42","4.89","0.41","0.00","7days"
"almand","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1474","6.11","8.62","B01LY6B08A","B084884GKX","8.05","46.38","42.90","4.52","2.57","0.00","7days"
"sunflower seeds 1_kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1052","5.71","-18.95","B07VQWDWZD","B06WWP5JRD","0.09","0.00","0.00","0.00","0.00","0.00","7days"
"anjir price 250g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","1K-5K","344","5.15","1.82","B0B7XKXKS3","B0758D65V3","0.96","7.27","5.84","26.63","4.13","0.00","7days"
"nutmix dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1211","4.78","9.97","B09NSP2ZQ3","B01LY6B085","10.31","31.68","30.86","23.22","26.63","0.00","7days"
"melon seeds for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","505","4.58","1.23","B01MEHGSRK","B0B2S3BYDP","3.77","0.85","2.73","0.00","4.15","0.00","7days"
"mixed nuts and seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1304","3.74","-3.28","B082SWR3GS","B09QGTVT5B","1.48","23.18","18.16","27.09","5.77","0.00","7days"
"anjeer 500g offers low price","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","1K-5K","392","3.54","-12.62","B0BBD3CSCJ","B0758D65V3","0.32","7.81","6.08","220.55","4.74","0.00","7days"
"seed","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","1K-5K","376","2.88","0.63","B077TTWG8H","B091DYSVRR","1.09","0.00","0.00","0.00","0.00","0.00","7days"
"fig fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","761","2.88","-8.20","B08V6VXB7T","B0758D65V3","1.74","7.17","5.41","0.00","3.96","0.00","7days"
"sunflower seeds 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","808","2.71","-1.05","B07GR2G67L","B06WWP5JRD","0.85","0.32","0.30","0.00","4.46","0.00","7days"
"edible seeds combo pack","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","787","1.71","11.87","B094ZDM9TC","B099YG1FMB","0.11","1.20","2.72","0.00","0.91","0.00","7days"
"chironji seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","1K-5K","271","1.68","3.87","B0896W9GQJ","B07X26MCD6","0.97","1.48","1.55","0.00","1.98","0.00","7days"
"khubani","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1401","1.68","-4.45","B078LJJCHF","B07NCP2Z7T","1.09","0.00","0.00","0.00","0.00","0.00","7days"
"mix dry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","472","1.25","-0.50","B0BHP3VMQH","B01LY6B085","18.35","62.16","55.95","24.07","33.24","0.00","7days"
"nuts and dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","10K-50K","54","1.10","-4.96","B01LY6B085","B08JZDG9CN","23.78","24.96","21.85","22.62","33.19","69.01","7days"
"anjir price 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","1K-5K","142","1.05","-0.23","B0B362KPCF","B09TJMVMLW","1.54","2.76","2.12","0.00","5.38","0.00","7days"
"almond gum","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","729","0.58","11.98","B07QYSWSYX","B01LPY9P2I","10.95","43.33","38.39","0.00","35.55","0.00","7days"
"vedaka dry fruits and nuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","499","0.57","4.34","B07GR82XJR","B07GQW1HHN","8.43","2.06","8.39","0.00","43.37","14.89","7days"
"mix seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","5K-10K","124","0.50","-8.99","B082SWR3GS","B09RSQH1Y6","0.88","2.29","2.31","89.29","6.15","0.00","7days"
"kaju badam combo pack 500 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","507","0.38","-7.72","B0993BXH64","B098R3D8PW","9.32","1.79","3.40","0.00","6.66","0.00","7days"
"jewel farmer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1483","0.26","-0.38","B079FQ4TJJ","B09X66YHYC","10.07","2.99","3.39","0.00","34.21","0.00","7days"
"mixed dry fruits 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1380","0.20","-6.80","B075X3N2W9","B08JZDG9CN","6.89","4.69","5.61","0.00","44.95","0.00","7days"
"eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1116","0.19","17.97","B0B42K2DYM","B0BF5DTPJK","3.86","0.11","0.10","0.00","0.22","0.00","7days"
