"keyword","keywordType","category","subcategory","traffic","categoryRank","searchVolumeGrowthWOW","searchVolumeGrowthVsTrailing4WeekAvg","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"tong garden","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1K-5K","277","14.34","15.30","B00M7TFH3W","B09P222TPN","33.33","0.00","0.00","3.53","9.69","0.00","7days"
"fresh amazon fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","5K-10K","111","89.92","125.94","B085NTZMVR","B074MD7DGS","7.47","1.38","3.32","0.00","5.89","0.00","7days"
"raw peanuts 500 gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","100-1K","1561","40.51","35.60","B07KXGFGSS","B07KXGFGSS","3.05","0.00","0.00","0.00","0.00","0.00","7days"
"peanuts 500g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","100-1K","729","33.55","23.17","B00M57WJQ4","B07KXGFGSS","5.45","0.00","0.00","0.00","3.52","0.00","7days"
"unsalted peanuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","100-1K","876","31.83","54.26","B07W4KCDB7","B09778XT2N","0.71","0.00","0.00","0.00","0.00","0.00","7days"
"peanuts 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","100-1K","802","30.75","43.09","B00M57WJQ4","B07KXGFGSS","0.52","0.00","0.00","0.00","4.88","0.00","7days"
"raw peanut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1K-5K","363","24.39","20.90","B07MNFRFR3","B07KXGFGSS","1.20","0.08","0.08","0.00","4.54","0.00","7days"
"peanut raw","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1K-5K","228","21.47","18.28","B07MNFRFR3","B07KXGFGSS","4.06","0.00","0.00","0.00","2.58","0.00","7days"
"peanut 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","100-1K","1192","19.31","22.28","B00M57WJQ4","B07KXGFGSS","2.67","0.00","0.00","0.00","0.00","0.00","7days"
"pallilu 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","100-1K","604","18.55","22.74","B08C2P8L95","B07KXGFGSS","0.10","0.00","0.00","0.00","3.36","0.00","7days"
"moongfali","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1K-5K","355","18.21","30.69","B07KXGFGSS","B07KXGFGSS","0.00","0.04","0.03","0.00","4.88","0.00","7days"
"salted peanut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","100-1K","594","17.90","17.79","B01HCYY3VS","B07VLHW1PW","7.48","0.07","0.07","0.00","7.67","0.00","7days"
"groundnut 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1K-5K","485","15.36","18.87","B07KXGFGSS","B07KXGFGSS","0.18","0.00","0.00","0.00","0.00","0.00","7days"
"peanut roasted","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","100-1K","1162","15.02","16.83","B07VLHW1PW","B07KXGFGSS","1.61","0.00","0.00","0.00","5.69","0.00","7days"
"peanuts raw","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1K-5K","236","15.00","5.91","B07KXGFGSS","B07KXGFGSS","1.58","0.00","0.00","0.00","4.69","0.00","7days"
"peanuts roasted salted","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","100-1K","597","14.72","12.14","B07VLHW1PW","B0B8ZGTCBX","1.13","0.00","0.00","0.00","0.00","0.00","7days"
"organic peanut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1K-5K","552","14.42","29.05","B00M57WJQ4","B00M57WJQ4","0.32","0.00","0.00","0.00","0.00","0.00","7days"
"peanut salted","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","100-1K","1773","14.40","15.71","B01HCYY3VS","B0BCH9FS7B","6.19","0.00","0.00","0.00","6.60","0.00","7days"
"groundnut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","10K-50K","51","13.02","18.64","B00M57WJQ4","B07KXGFGSS","0.05","0.00","0.00","0.00","3.00","0.00","7days"
"peanuts 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","100-1K","686","12.29","6.72","B07KXGFGSS","B07KXGFGSS","0.14","0.06","0.05","0.00","3.71","0.00","7days"
"pallilu 1kg loose","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","100-1K","1131","10.77","6.21","B07MNFRFR3","B07KXGFGSS","0.05","0.00","0.00","0.00","0.00","0.00","7days"
"peanut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","10K-50K","33","10.40","11.33","B07KXGFGSS","B07KXGFGSS","0.02","0.03","0.02","0.00","2.47","0.00","7days"
"mungfali","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1K-5K","529","9.85","11.59","B09MDBTMT8","B07KXGFGSS","0.01","0.00","0.00","0.00","0.00","0.00","7days"
"peanuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","10K-50K","28","8.62","18.13","B07KXGFGSS","B07KXGFGSS","0.02","0.02","0.02","0.00","2.92","0.00","7days"
