"keyword","keywordType","category","subcategory","traffic","categoryRank","searchVolumeGrowthWOW","searchVolumeGrowthVsTrailing4WeekAvg","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"nutraj pistachios","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","100-1K","630","7.30","16.00","B07DL8YV85","B015T5A7NK","21.63","36.17","35.66","22.09","47.24","0.00","7days"
"happilo dry fruits 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","100-1K","1172","71.22","106.90","B08487XKYR","B01LY6B085","77.41","83.67","81.48","4.44","56.96","0.00","7days"
"dry fruit pista","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","100-1K","1397","57.38","109.64","B01LZ5DFW2","B08487WD3J","26.82","43.66","38.66","0.00","50.91","0.00","7days"
"happilo dry fruits gift pack","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","100-1K","1223","35.69","73.56","B09BN1LL75","B09BN1N1WC","76.56","57.06","29.40","2.91","49.66","0.00","7days"
"unsalted pista","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","100-1K","547","27.26","4.74","B0992MLYPH","B0992MLYPH","21.18","50.06","44.06","21.45","44.62","40.05","7days"
"pista 250 grams without shell","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","100-1K","1363","26.64","-0.35","B08BY74WKZ","B0992MLYPH","20.43","44.86","37.78","4.09","61.09","0.00","7days"
"green pista","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","100-1K","906","24.33","21.89","B0992MLYPH","B01LZ5DFW2","23.53","61.22","47.30","25.11","40.14","0.00","7days"
"pista kernels","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","100-1K","809","21.99","6.93","B0992MLYPH","B0992MLYPH","21.62","48.55","40.03","0.00","43.64","0.00","7days"
"pista 100 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","100-1K","685","20.45","-1.52","B09TH95FS9","B01LZ5DFW2","11.70","62.64","55.18","0.00","44.67","0.00","7days"
"happilo pistachio","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1K-5K","213","18.51","13.48","B01LZ5DFW2","B01LZ5DFW2","67.48","79.54","77.74","14.35","38.82","15.23","7days"
"happilo anjeer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1K-5K","307","18.39","20.68","B0758D65V3","B0758D65V3","63.19","6.61","5.25","8.42","40.61","121.69","7days"
"pistachio 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","100-1K","778","17.21","4.55","B075Q57MHV","B08487WD3J","20.06","31.80","29.97","21.28","53.24","0.00","7days"
"pistachio+1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","100-1K","1334","16.66","0.80","B01LZ5DFW2","B08487WD3J","22.53","42.00","40.13","33.11","55.78","0.00","7days"
