"keyword","keywordType","category","subcategory","traffic","categoryRank","searchVolumeGrowthWOW","searchVolumeGrowthVsTrailing4WeekAvg","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"neuherbs pumpkin seeds","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","1148","35.40","28.92","B07R55QNXB","B07R55QNXB","6.34","4.92","5.83","0.00","20.57","0.00","7days"
"sunflower and pumpkin seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","1480","35.59","92.07","B08Y6H19BZ","B01F8UA1AA","3.86","0.00","2.01","0.00","17.72","0.00","7days"
"pumkin seed","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","650","18.08","2.86","B07GQRWYNP","B07GQW1HJC","6.50","20.00","0.00","0.00","0.00","0.00","7days"
"pumkinseeds 500 gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","1320","16.55","130.46","B09TFSLFMN","B07GQWST7Y","2.95","0.00","0.00","0.00","0.00","0.00","7days"
"pumpkin seeds in fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","829","11.78","3.13","B07GQRWYNP","B07GQW1HJC","8.75","25.81","25.18","16.87","4.67","0.00","7days"
"roasted pumpkin seeds for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","607","11.57","-1.91","B07587K8S5","B07WRCP5KN","9.32","20.00","19.60","0.00","17.17","0.00","7days"
"pumpkin seeds 1 kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","1220","8.73","14.36","B08296TRWV","B07GQWST7Y","0.63","0.00","0.00","0.00","12.85","0.00","7days"
"pumpkin seeds 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","1K-5K","172","4.73","-11.37","B07GQWST7Y","B07GQWST7Y","2.84","14.73","14.46","48.92","27.16","0.00","7days"
"pumpkin seeds for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","10K-50K","50","3.90","-3.39","B07GQRWYNP","B07GQW1HJC","6.98","11.14","11.74","23.31","12.83","35.84","7days"
"happilo pumpkin seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","1133","2.33","-5.38","B0758JN87N","B07587K8S5","52.01","54.01","51.15","8.40","18.60","0.00","7days"
"pumpkin seeds for eating 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pumpkin Seeds","100-1K","1217","1.87","0.78","B08KS3BTWN","B07GQW1HJC","3.35","0.00","1.41","0.00","14.60","0.00","7days"
