"keyword","keywordType","category","subcategory","traffic","categoryRank","searchVolumeGrowthWOW","searchVolumeGrowthVsTrailing4WeekAvg","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"amazon brand - vedaka","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","220","0.76","-1.04","B07GQRWYNP","B07GR82XJR","2.31","0.00","0.00","0.00","2.88","0.00","7days"
"chilgoze","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1226","36.55","103.09","B08RSQ5BPC","B08P9SQ8RY","0.12","0.00","0.00","0.00","0.00","0.00","7days"
"green raisins 500 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1414","34.49","57.92","B08R2X1W15","B08487YGZQ","21.27","56.46","52.81","27.35","56.83","0.00","7days"
"raisin black","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1558","33.37","46.10","B07GR346FX","B08JR78WB7","20.41","36.16","31.60","0.00","51.03","0.00","7days"
"kishmish in fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","304","32.55","43.43","B078HC2HMP","B07GR3S1RR","20.26","35.29","33.94","12.50","4.45","0.00","7days"
"dry raisins","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1337","28.93","30.59","B06WVBRCJ4","B08487YGZQ","21.71","52.94","47.24","162.53","50.21","0.00","7days"
"raisen","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","899","27.95","18.37","B06WVBRCJ4","B07GRBFFMR","15.45","15.42","16.97","0.94","18.24","0.00","7days"
"black manuka","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1680","27.92","33.59","B07GR346FX","B01M23QPIU","16.44","13.70","12.58","4.94","54.83","0.00","7days"
"dry black grapes","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1034","27.64","32.37","B07GR346FX","B07GR346FX","29.18","24.69","19.83","31.74","54.20","0.00","7days"
"raisins in fresh 200gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","936","26.22","44.07","B09GNSFRVC","B07GR3S1RR","22.46","39.42","33.39","34.44","6.88","2.12","7days"
"kismis 500gm fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1K-5K","384","25.88","34.56","B079L74PNZ","B08487YGZQ","17.63","32.53","31.54","26.32","5.72","0.00","7days"
"black raisins 250 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","998","25.47","38.49","B01LZH17BR","B07GR346FX","31.20","34.83","31.08","18.76","51.25","6.64","7days"
"kismis 250 gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","100-1K","1066","25.21","25.94","B01LZGVQV4","B08487YGZQ","23.12","36.87","35.68","12.91","15.29","0.00","7days"
