"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"flax seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","50K-100K","14","B07GR346G4","B06XW6F9QG","0.50","0.00","0.00","0.00","1.40","0.00","7days"
"flax seeds 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","5K-10K","117","B075NFHK5M","B06XW6F9QG","0.40","0.00","0.00","0.00","0.00","0.00","7days"
"flaxseed","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","5K-10K","128","B07GR346G4","B07GQZ7ZVT","0.39","0.00","0.00","0.00","0.00","0.00","7days"
"halim seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","5K-10K","146","B099WCGLG3","B099WCGLG3","0.57","0.86","0.77","0.00","0.20","0.00","7days"
"flex seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","5K-10K","153","B07GR346G4","B06XW6F9QG","0.24","0.00","0.00","0.00","0.00","0.00","7days"
"flax seed","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","5K-10K","155","B07GR346G4","B06XW6F9QG","0.58","0.00","0.00","0.00","0.00","0.00","7days"
"alsi seed","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","1K-5K","209","B07GR346G4","B06XW6F9QG","0.21","0.00","0.00","0.00","0.00","0.00","7days"
"flax seeds powder","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","1K-5K","235","B091XX868R","B06XW6F9QG","0.08","0.00","0.00","0.00","0.61","0.00","7days"
"alsi seeds 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","1K-5K","292","B075NFHK5M","B06XW6F9QG","0.01","0.00","0.00","0.00","0.70","0.00","7days"
"flex seed","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","1K-5K","361","B07GR346G4","B06XW6F9QG","0.82","0.00","0.00","0.00","0.00","0.00","7days"
"magaj seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","1K-5K","383","B08F4BD11B","B074Z8YLT8","3.25","1.68","1.49","0.00","3.35","0.00","7days"
"alsi","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","1K-5K","388","B075NFHK5M","B07GR346G4","0.01","0.12","0.10","0.00","1.33","0.00","7days"
"flaxseed seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","1K-5K","396","B07GR346G4","B06XW6F9QG","0.51","0.00","0.00","0.00","0.00","0.00","7days"
"flax seeds in fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","1K-5K","428","B07GR346G4","B07GR346G4","5.95","0.00","0.00","0.00","0.00","0.00","7days"
"roasted flax seeds for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","1K-5K","444","B07BSHM94V","B06XW7BSFV","3.45","0.00","0.00","0.00","2.91","0.00","7days"
"roasted flax seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","1K-5K","450","B07BSHM94V","B06XW6F9QG","4.40","0.00","0.00","0.00","3.37","0.00","7days"
"flax","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","1K-5K","479","B07GR346G4","B07GR346G4","0.30","0.00","0.00","0.00","0.00","0.00","7days"
"flakes seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","1K-5K","520","B08HV5SH8Z","B07GR346G4","0.02","0.00","0.00","0.00","1.17","0.00","7days"
"flex seeds. 100g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","1K-5K","534","B00M57XM8I","B07GR346G4","0.16","0.00","0.00","0.00","1.03","0.00","7days"
"flax seeds 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","567","B07GQZ7ZVT","B06XW6F9QG","0.25","0.00","0.00","0.00","1.22","0.00","7days"
"flaxseeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","575","B08HV5SH8Z","B07GQZ7ZVT","0.41","0.00","0.00","0.00","0.00","0.00","7days"
"flax seeds 100gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","618","B00M57XM8I","B06XW7BSFV","0.23","0.00","0.00","0.00","1.25","0.00","7days"
"flack seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","669","B08HV5SH8Z","B07GR346G4","3.41","0.00","0.00","0.00","0.00","0.00","7days"
"organic flax seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","684","B08HV5SH8Z","B06XW6F9QG","0.19","0.00","0.00","0.00","0.00","0.00","7days"
"alsi seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","878","B00M57XM8I","B07GR346G4","0.52","0.00","0.00","0.00","0.00","0.00","7days"
"chia seeds flax seeds pumpkin seeds sunflower seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","1051","B07J3BSNJ4","B0851L15DR","0.52","0.00","0.00","0.00","11.23","0.00","7days"
"halim seed","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","1155","B08VGCTQ2N","B099WCGLG3","2.27","7.65","7.23","0.00","0.16","0.00","7days"
"flax seeds organic","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","1212","B08HV5SH8Z","B06XW6F9QG","0.04","0.00","0.00","0.00","0.00","0.00","7days"
"flax seeds for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","1273","B07GR346G4","B06XW7BSFV","0.09","0.22","0.37","0.00","1.43","0.00","7days"
"flaxseeds seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","1384","B07GR346G4","B06XW6F9QG","2.31","0.00","0.00","0.00","0.00","0.00","7days"
"jewel farmer","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","1385","B07NQKQR4V","B07ND8WC8M","13.31","6.20","5.59","0.00","12.85","0.00","7days"
"aleev seeds organic","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","1456","B075454BJF","B099WCGLG3","0.00","4.92","0.00","0.00","0.00","0.00","7days"
"haleem seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","1479","B099WCGLG3","B099WCGLG3","1.01","0.00","0.00","0.00","0.00","0.00","7days"
"flex seeds 100g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","1502","B00M57XM8I","B07GR346G4","3.19","0.00","0.00","0.00","0.00","0.00","7days"
"avisa seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","1560","B075NFHK5M","B06XW6F9QG","5.18","3.57","4.50","0.00","1.05","0.00","7days"
"flax seed 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","1913","B08HV5SH8Z","B06XW6F9QG","0.10","0.00","0.00","0.00","0.00","0.00","7days"
"alsi seeds in fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","1971","B07GR346G4","B07GR346G4","1.49","0.00","0.00","0.00","0.00","0.00","7days"
"flexed seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","2060","B00M57XM8I","B06XW7BSFV","8.26","0.00","0.00","0.00","0.00","0.00","7days"
"flexseed","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","2315","B07GR346G4","B07GQZ7ZVT","0.25","0.00","0.00","0.00","0.00","0.00","7days"
"avisaginjalu 500grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","2474","B07MN45CB2","B075NFHK5M","3.79","0.52","0.50","0.00","3.57","0.00","7days"
"ground flax seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","2546","B06XCX296R","B06XW7BSFV","0.08","0.00","0.00","0.00","0.00","0.00","7days"
"flaxseed 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","2593","B08HV5SH8Z","B07GR346G4","0.17","0.00","0.00","0.00","0.00","0.00","7days"
"neuherbs seeds","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","2712","B07QX5QJ1H","B08Y6RJ3G4","0.36","0.00","0.00","0.00","0.00","0.00","7days"
"flax seeds roasted for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","2729","B0B42K2DYM","B06XW7BSFV","4.33","0.00","0.00","0.00","0.00","0.00","7days"
"pumpkin seeds powder","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","3191","B07R55QNXB","B07GQW1HJC","2.17","31.37","27.54","0.00","10.95","0.00","7days"
"alsi seeds roasted","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Flaxseeds","100-1K","3255","B08BHHD66L","B09P9Y57YX","0.40","0.00","0.00","0.00","0.00","0.00","7days"
