"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"nutty gritties","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","1K-5K","490","B0851L15DR","B08JTBYKDW","0.52","1.53","1.61","0.00","44.07","0.00","7days"
"ministry of nuts","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","1K-5K","516","B09HTWBZ66","B09HTWBZ66","11.63","7.47","6.91","0.00","19.04","0.00","7days"
"ministry of nuts pack of 5","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","1K-5K","531","B09HTWBZ66","B09HTWBZ66","3.68","0.06","0.11","0.00","18.08","0.00","7days"
"greenfinity dry fruits","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","1124","B08X6K464N","B08X6K464N","13.60","0.41","0.57","0.00","31.34","0.00","7days"
"greenfinity dry fruits combo pack","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","1570","B08X2M94KM","B09HTWBZ66","8.92","1.79","3.08","0.00","42.43","0.00","7days"
"greenfinity","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","1577","B08P1FLDB8","B09TJMP82G","15.79","7.10","7.17","0.00","6.80","0.00","7days"
"ministry+of+nuts","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","2459","B09HTWBZ66","B0992KMQYL","0.00","4.08","3.56","0.00","6.58","0.00","7days"
"ministryofnuts","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","3951","B0B2D6P9NK","B09HTWBZ66","5.48","0.00","0.00","0.00","0.00","0.00","7days"
"ministry of nuts pack of 5 premium","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","1-100","6061","B09HTWBZ66","B09VGYMVRL","4.38","0.00","0.00","0.00","12.00","0.00","7days"
"ministry of nuts family pack of 5","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","1-100","6205","B09HTWBZ66","B09VGYMVRL","29.68","2.50","3.13","0.00","20.73","0.00","7days"
"mixed berries and nuts for plum cake","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","1-100","6338","B07SYLJFZ6","B07T1RN9T6","13.50","8.75","9.17","0.00","6.72","0.00","7days"
"berry and nuts mix","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","1-100","7917","B09P9Y4XRD","B09WHVN3TW","12.17","21.62","18.18","0.00","14.29","0.00","7days"
