"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"mango","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mangos","1K-5K","434","B01ND1ED2D","B08XZLH675","8.94","0.00","0.00","0.00","0.00","0.00","7days"
"dried mango","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mangos","1K-5K","435","B09SLN3L77","B07FDV7Z5Z","6.39","0.00","0.09","0.00","25.38","0.00","7days"
"dry mango","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mangos","1K-5K","521","B07VG2CLV4","B0BDLH45TT","16.79","0.09","0.12","0.00","47.82","0.00","7days"
"dry mango slice","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mangos","100-1K","1243","B00LPHGOE8","B00LPHGOE8","1.04","0.00","0.00","0.00","7.05","0.00","7days"
"dried mango slice","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mangos","100-1K","1351","B00LPHGOE8","B08CHLTR72","0.83","0.00","0.19","0.00","20.90","0.00","7days"
"dehydrated mango","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mangos","100-1K","2216","B00LPHGOE8","B0B75Q3L8R","3.64","0.00","0.00","0.00","0.00","0.00","7days"
"dehydrated fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mangos","100-1K","3457","B07Q7KP499","B07GR2G678","16.10","6.98","4.12","0.00","28.57","0.00","7days"
"dry mango pieces","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mangos","100-1K","3983","B0BDLH45TT","B0BDLH45TT","3.97","0.00","0.00","0.00","0.00","0.00","7days"
"mango dried","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mangos","1-100","5179","B09SLN3L77","B07FF7L984","12.57","0.00","0.00","0.00","29.25","0.00","7days"
"dried mango without sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mangos","1-100","7009","B09SLN3L77","B0BGL5S8N9","11.26","0.95","0.64","0.00","28.70","0.00","7days"
"mango dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mangos","1-100","7313","B0B75NSLT4","B07FF7L984","6.83","0.00","1.96","0.00","29.73","0.00","7days"
"frozen mango","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mangos","1-100","14757","B08P4N8THS","B07FF7L984","14.64","0.00","0.00","0.00","0.00","0.00","7days"
