"keyword","keywordType","category","subcategory","traffic","categoryRank","searchVolumeGrowthWOW","searchVolumeGrowthVsTrailing4WeekAvg","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"paper boat dry fruits","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1419","26.96","38.93","B09FT6T6L2","B09FT7FWTY","9.67","10.04","8.88","0.00","8.89","0.00","7days"
"true elements seeds","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","1K-5K","313","20.64","27.19","B082SWR3GS","B09RSQH1Y6","0.26","0.47","0.37","0.00","4.79","0.00","7days"
"paper boat nuts","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","792","14.06","21.33","B09FT6T6L2","B09WRMXP9Z","9.13","1.39","1.24","0.00","10.32","0.00","7days"
"true elements seeds mix","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1347","9.63","24.88","B082SWR3GS","B07VRCHQGF","1.78","4.16","5.10","0.00","9.18","0.00","7days"
"paperboat dry fruits","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","1K-5K","389","9.17","15.38","B09QGTVT5B","B09WRMXP9Z","4.73","2.63","4.54","0.00","33.84","0.00","7days"
"dry fruit hub","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1342","0.61","42.32","B07ZMFZ935","B09QGTVT5B","11.89","3.07","2.30","0.00","22.20","0.00","7days"
"happilo nuts and berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1653","73.80","139.14","B01LXIWNMH","B01LZH58GI","76.02","51.96","51.39","38.34","39.94","0.00","7days"
"bhang seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1153","58.91","159.87","B09QJR1F91","B07546BFT5","0.60","0.48","0.00","0.00","0.00","0.00","7days"
"lagom dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1829","51.51","80.79","B08HR37W83","B09WRMXP9Z","7.57","0.88","0.55","0.00","39.32","0.00","7days"
"happilo nuts and berries mix","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1710","49.50","105.17","B01LZH58GI","B01LY6B085","74.81","76.69","74.14","0.00","31.99","0.00","7days"
"grosari","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1364","44.81","287.17","B084884GKX","B09X1RM4FM","5.96","11.99","9.08","0.00","7.59","0.00","7days"
"naresh dry fruit jammu","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","1K-5K","546","44.27","176.88","B09JPJNBF4","B0759RX62G","3.19","27.43","27.29","0.00","15.38","0.00","7days"
"amonds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1776","44.16","59.48","B01LY6B08A","B084884GKX","18.97","25.66","21.33","0.00","3.09","0.00","7days"
"halim","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1139","41.64","49.18","B08VGCTQ2N","B099WCGLG3","0.15","0.18","0.17","0.00","0.24","0.00","7days"
"watermelon seeds 100gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","919","38.89","28.21","B074Z8YLT8","B074Z8YLT8","1.09","0.93","0.98","0.00","0.47","0.00","7days"
"garden cress seeds for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","613","37.34","75.83","B075454BJF","B099WCGLG3","0.00","0.20","0.18","0.00","0.36","0.00","7days"
"dry seeds combo pack offer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1245","37.01","60.30","B07J3BSNJ4","B09T3LN71Y","0.08","2.49","3.00","0.00","3.63","0.00","7days"
"almond cashew pista walnut combo","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1453","36.75","59.97","B09LR5JZKJ","B09HTWBZ66","29.47","2.65","2.76","0.00","22.03","0.00","7days"
"naresh dry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","911","36.08","148.86","B09G9RF9WL","B01LZ5DFW2","4.47","14.90","12.78","0.00","14.36","0.00","7days"
"delight nuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","938","35.41","30.99","B0133F1AN4","B09G9Y2RVF","19.67","9.55","8.12","0.00","34.70","0.00","7days"
"dry seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1446","33.98","36.23","B07ZMFZ935","B07GQW1HJC","6.44","9.00","9.23","0.00","4.00","0.00","7days"
"nutmix dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1477","31.84","48.68","B0BN8NDZHZ","B09WRMXP9Z","32.74","6.34","8.89","6.57","25.23","0.00","7days"
"mixed seeds for weight loss","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","1K-5K","332","25.93","28.76","B077TTB3FX","B082SWR3GS","1.02","0.95","1.55","0.00","9.96","0.00","7days"
"pumpkin seeds roasted","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","1K-5K","452","25.19","33.38","B07587K8S5","B07WRCP5KN","10.66","16.89","14.37","0.00","36.79","0.00","7days"
"musk melon seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","555","24.98","35.12","B09SLDG4HK","B0912BY6MG","9.71","0.79","0.86","0.00","28.70","0.00","7days"
"healthy seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1179","24.69","35.71","B094ZDM9TC","B09QGTVT5B","7.25","0.30","0.23","0.00","5.39","0.00","7days"
"mix dry fruits and nuts in fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1810","24.06","31.27","B01LY6B085","B01LY6B085","36.32","38.84","38.60","10.75","0.00","0.00","7days"
"kitchen jungle","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","725","23.59","327.37","B08HHMK5Q8","B09KPTT7QK","18.06","3.59","2.54","0.00","12.67","0.00","7days"
"athipalam","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1782","23.33","42.13","B0758D65V3","B09KPTT7QK","3.08","2.73","2.47","0.00","1.95","0.00","7days"
"risin","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1790","23.20","42.86","B01LZGVQV4","B01LZGVQV4","15.36","37.98","36.36","0.00","20.18","0.00","7days"
"nutmix","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","968","22.59","30.90","B01LY6B085","B09WRMXP9Z","24.37","18.14","17.42","8.41","7.77","0.00","7days"
"nuts and seeds mix","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1035","22.49","4.51","B09RSQH1Y6","B01LY6B085","1.81","7.02","7.14","27.07","4.95","0.00","7days"
"aliv seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","1K-5K","327","21.30","-2.44","B099WCGLG3","B099WCGLG3","0.04","0.05","0.04","0.00","0.25","0.00","7days"
"mix seeds for hair growth","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1361","21.21","35.24","B082SWR3GS","B09WHVN3TW","0.08","1.11","1.62","0.00","6.55","0.00","7days"
