keyword,keywordType,category,subcategory,traffic,categoryRank,mostClickedOrganicAsin,mostClickedSpAsin,firstPageOrganicCoverage,firstPageSpSOV,overallSpSOV,overallSpACOS,overallSbSOV,overallSbACOS,duration
hapillo,BRANDED,"Grocery-Dried Fruits, Nuts & Seeds",Almonds,1K-5K,501,B01LZ5DFW2,B0758D65V3,61.84,32.37,30.35,21.54,29.09,9.53,7days
hapillio almonds,BRANDED,"Grocery-Dried Fruits, Nuts & Seeds",Almonds,100-1K,698,B01LY6B08A,B0992KMQYL,67.20,49.14,46.73,3.89,61.97,9.37,7days
hapilo,BRANDED,"Grocery-Dried Fruits, Nuts & Seeds",Almonds,100-1K,1497,B01LZ5DFW2,B0992KMQYL,76.47,0.00,0.00,0.00,0.00,0.00,7days
happily almonds,BRANDED,"Grocery-Dried Fruits, Nuts & Seeds",Almonds,100-1K,3054,B01LY6B08A,B084884GKX,42.66,54.84,54.97,11.88,52.15,17.52,7days
hapillo almonds,BRANDED,"Grocery-Dried Fruits, Nuts & Seeds",Almonds,1-100,4750,B01LY6B08A,B0992KMQYL,79.81,0.00,0.00,0.00,0.00,0.00,7days
hapillo badam,BRANDED,"Grocery-Dried Fruits, Nuts & Seeds",Almonds,1-100,9764,B01LY6B08A,B084884GKX,61.17,0.00,0.00,0.00,0.00,0.00,7days
happilo+almond,BRANDED,"Grocery-Dried Fruits, Nuts & Seeds",Almonds,1-100,10046,B01LY6B08A,B084884GKX,76.17,60.00,59.09,0.00,58.49,0.00,7days
happily badam,BRANDED,"Grocery-Dried Fruits, Nuts & Seeds",Almonds,1-100,16321,B01LY6B08A,B084884GKX,55.98,20.00,0.00,0.00,0.00,0.00,7days
hapillio cashew,BRANDED,"Grocery-Dried Fruits, Nuts & Seeds",Cashews,100-1K,1336,B01LZ5DPXD,B0992N4SCC,60.15,39.41,37.64,5.26,57.29,0.00,7days
hippo dry fruits,BRANDED,"Grocery-Dried Fruits, Nuts & Seeds",Cashews,100-1K,3665,B01LZ5DFW2,B01LZ5DFW2,68.20,21.28,17.04,10.04,44.76,0.00,7days
hapillo cashew,BRANDED,"Grocery-Dried Fruits, Nuts & Seeds",Cashews,1-100,4460,B01LZ5DPXD,B08487XKYR,64.71,0.00,0.00,0.00,0.00,0.00,7days
